




                              Registered Voters             Ballots Cast                  Voter Turnout                 
Cranford District 8           585                           144                           24.62%
Cranford District 9           556                           141                           25.36%
Cranford District 10          508                           134                           26.38%
Cranford District 11          460                           112                           24.35%
Cranford District 12          584                           175                           29.97%
Cranford District 13          697                           159                           22.81%
Cranford District 14          555                           140                           25.23%
Cranford District 15          667                           196                           29.39%
Cranford District 16          469                           123                           26.23%
Cranford District 17          466                           114                           24.46%
Cranford District 18          456                           93                            20.39%
Cranford District 19          522                           133                           25.48%
Cranford District 20          490                           126                           25.71%
Cranford District 21          671                           182                           27.12%
Cranford District 22          602                           159                           26.41%
Cranford District 23          575                           174                           30.26%
Cranford District 24          457                           104                           22.76%
Cranford District 25          435                           90                            20.69%
Cranford District 26          632                           179                           28.32%
Cranford District 27          620                           140                           22.58%
Cranford District 28          481                           123                           25.57%
Cranford District 29          610                           155                           25.41%
Cranford District 30          484                           116                           23.97%
Cranford Mail-In Ballot       0                             119                           0.00%
Cranford Provisional          0                             9                             0.00%
Cranford Overseas             0                             6                             0.00%
Elizabeth Ward 1 District 1   784                           143                           18.24%
Elizabeth Ward 1 District 2   1068                          172                           16.10%
Elizabeth Ward 1 District 3   867                           180                           20.76%
Elizabeth Ward 1 District 4   1238                          203                           16.40%
Elizabeth Ward 1 District 5   1181                          163                           13.80%
Elizabeth Ward 1 District 6   1721                          293                           17.02%
Elizabeth Ward 1 District 7   717                           109                           15.20%
Elizabeth Ward 1 District 8   806                           117                           14.52%
Elizabeth Ward 2 District 1   695                           139                           20.00%
Elizabeth Ward 2 District 2   1519                          309                           20.34%
Elizabeth Ward 2 District 3   982                           180                           18.33%
Elizabeth Ward 2 District 4   990                           156                           15.76%
Elizabeth Ward 2 District 5   775                           169                           21.81%
Elizabeth Ward 2 District 6   1387                          325                           23.43%
Elizabeth Ward 2 District 7   536                           84                            15.67%
Elizabeth Ward 2 District 8   743                           142                           19.11%
Elizabeth Ward 2 District 9   723                           181                           25.03%
Elizabeth Ward 2 District 10  566                           120                           21.20%
Elizabeth Ward 3 District 1   607                           181                           29.82%
Elizabeth Ward 3 District 2   705                           205                           29.08%
Elizabeth Ward 3 District 3   545                           133                           24.40%
Elizabeth Ward 3 District 4   811                           180                           22.19%
Elizabeth Ward 3 District 5   803                           168                           20.92%
Elizabeth Ward 3 District 6   1435                          299                           20.84%
Elizabeth Ward 3 District 7   759                           148                           19.50%
Elizabeth Ward 3 District 8   837                           228                           27.24%
Elizabeth Ward 3 District 9   794                           151                           19.02%
Elizabeth Ward 3 District 10  1564                          325                           20.78%
Elizabeth Ward 3 District 11  644                           116                           18.01%
Elizabeth Ward 3 District 12  1112                          241                           21.67%
Elizabeth Ward 4 District 1   836                           176                           21.05%
Elizabeth Ward 4 District 2   874                           175                           20.02%
Elizabeth Ward 4 District 3   869                           159                           18.30%
Elizabeth Ward 4 District 4   954                           263                           27.57%
Elizabeth Ward 4 District 5   791                           171                           21.62%
Elizabeth Ward 4 District 6   603                           119                           19.73%
Elizabeth Ward 4 District 7   1843                          375                           20.35%
Elizabeth Ward 4 District 8   1060                          195                           18.40%
Elizabeth Ward 4 District 9   881                           223                           25.31%
Elizabeth Ward 5 District 1   1333                          269                           20.18%
Elizabeth Ward 5 District 2   672                           137                           20.39%
Elizabeth Ward 5 District 3   958                           201                           20.98%
Elizabeth Ward 5 District 4   511                           114                           22.31%
Elizabeth Ward 5 District 5   678                           144                           21.24%
Elizabeth Ward 5 District 6   661                           161                           24.36%
Elizabeth Ward 5 District 7   1130                          202                           17.88%
Elizabeth Ward 5 District 8   1002                          219                           21.86%
Elizabeth Ward 5 District 9   1184                          216                           18.24%
Elizabeth Ward 5 District 10  623                           120                           19.26%
Elizabeth Ward 5 District 11  1008                          169                           16.77%
Elizabeth Ward 6 District 1   542                           169                           31.18%
Elizabeth Ward 6 District 2   612                           145                           23.69%
Elizabeth Ward 6 District 3   1314                          281                           21.39%
Elizabeth Ward 6 District 4   650                           100                           15.38%
Elizabeth Ward 6 District 5   1312                          266                           20.27%
Elizabeth Ward 6 District 6   704                           166                           23.58%
Elizabeth Ward 6 District 7   581                           138                           23.75%
Elizabeth Ward 6 District 8   1207                          224                           18.56%
Elizabeth Ward 1 Mail-In Ballot0                             72                            0.00%
Elizabeth Ward 2 Mail-In Ballot0                             58                            0.00%
Elizabeth Ward 3 Mail-In Ballot0                             94                            0.00%
Elizabeth Ward 4 Mail-In Ballot0                             61                            0.00%
Elizabeth Ward 5 Mail-In Ballot0                             42                            0.00%
Elizabeth Ward 6 Mail-In Ballot0                             47                            0.00%
Elizabeth Ward 1 Provisional  0                             48                            0.00%
Elizabeth Ward 2 Provisional  0                             37                            0.00%
Elizabeth Ward 3 Provisional  0                             35                            0.00%
Elizabeth Ward 4 Provisional  0                             22                            0.00%
Elizabeth Ward 5 Provisional  0                             22                            0.00%
Elizabeth Ward 6 Provisional  0                             26                            0.00%
Elizabeth Ward 1 Overseas     0                             0                             0.00%
Elizabeth Ward 2 Overseas     0                             0                             0.00%
Elizabeth Ward 3 Overseas     0                             5                             0.00%
Elizabeth Ward 4 Overseas     0                             0                             0.00%
Elizabeth Ward 5 Overseas     0                             0                             0.00%
Elizabeth Ward 6 Overseas     0                             0                             0.00%
Fanwood District 1            738                           197                           26.69%
Fanwood District 2            506                           154                           30.43%
Fanwood District 3            947                           286                           30.20%
Fanwood District 4            743                           199                           26.78%
Fanwood District 5            762                           199                           26.12%
Fanwood District 6            830                           226                           27.23%
Fanwood District 7            799                           198                           24.78%
Fanwood Mail-In Ballot        0                             39                            0.00%
Fanwood Provisional           0                             6                             0.00%
Fanwood Overseas              0                             3                             0.00%
Garwood District 1            792                           158                           19.95%
Garwood District 2            909                           230                           25.30%
Garwood District 3            672                           173                           25.74%
Garwood District 4            540                           117                           21.67%
Garwood Mail-In Ballot        0                             8                             0.00%
Garwood Provisional           0                             4                             0.00%
Garwood Overseas              0                             2                             0.00%
Hillside Ward 1 District 1    1296                          425                           32.79%
Hillside Ward 1 District 2    880                           270                           30.68%
Hillside Ward 1 District 3    1009                          252                           24.98%
Hillside Ward 2 District 1    1254                          276                           22.01%
Hillside Ward 2 District 2    965                           359                           37.20%
Hillside Ward 2 District 3    949                           294                           30.98%
Hillside Ward 3 District 1    999                           333                           33.33%
Hillside Ward 3 District 2    1252                          321                           25.64%
Hillside Ward 3 District 3    905                           228                           25.19%
Hillside Ward 4 District 1    863                           207                           23.99%
Hillside Ward 4 District 2    703                           172                           24.47%
Hillside Ward 4 District 3    800                           216                           27.00%
Hillside Ward 4 District 4    1145                          342                           29.87%
Hillside Ward 1 Mail-In Ballot0                             14                            0.00%
Hillside Ward 2 Mail-In Ballot0                             12                            0.00%
Hillside Ward 3 Mail-In Ballot0                             8                             0.00%
Hillside Ward 4 Mail-In Ballot0                             20                            0.00%
Hillside Ward 1 Provisional   0                             4                             0.00%
Hillside Ward 2 Provisional   0                             4                             0.00%
Hillside Ward 3 Provisional   0                             1                             0.00%
Hillside Ward 4 Provisional   0                             6                             0.00%
Hillside Ward 1 Overseas      0                             0                             0.00%
Hillside Ward 2 Overseas      0                             0                             0.00%
Hillside Ward 3 Overseas      0                             0                             0.00%
Hillside Ward 4 Overseas      0                             0                             0.00%
Kenilworth District 1         804                           179                           22.26%
Kenilworth District 2         809                           142                           17.55%
Kenilworth District 3         827                           192                           23.22%
Kenilworth District 4         871                           166                           19.06%
Kenilworth District 5         994                           190                           19.11%
Kenilworth District 6         873                           150                           17.18%
Kenilworth Mail-In Ballot     0                             27                            0.00%
Kenilworth Provisional        0                             2                             0.00%
Kenilworth Overseas           0                             0                             0.00%
Linden Ward 1 District 1      940                           229                           24.36%
Linden Ward 1 District 2      700                           143                           20.43%
Linden Ward 1 District 3      672                           137                           20.39%
Linden Ward 2 District 1      778                           176                           22.62%
Linden Ward 2 District 2      615                           105                           17.07%
Linden Ward 2 District 3      596                           109                           18.29%
Linden Ward 3 District 1      736                           190                           25.82%
Linden Ward 3 District 2      456                           116                           25.44%
Linden Ward 3 District 3      993                           225                           22.66%
Linden Ward 4 District 1      866                           251                           28.98%
Linden Ward 4 District 2      727                           198                           27.24%
Linden Ward 4 District 3      556                           158                           28.42%
Linden Ward 4 District 4      556                           153                           27.52%
Linden Ward 5 District 1      639                           174                           27.23%
Linden Ward 5 District 2      769                           264                           34.33%
Linden Ward 5 District 3      648                           257                           39.66%
Linden Ward 5 District 4      581                           157                           27.02%
Linden Ward 6 District 1      468                           112                           23.93%
Linden Ward 6 District 2      660                           149                           22.58%
Linden Ward 6 District 3      797                           137                           17.19%
Linden Ward 7 District 1      564                           180                           31.91%
Linden Ward 7 District 2      855                           243                           28.42%
Linden Ward 7 District 3      726                           203                           27.96%
Linden Ward 8 District 1      551                           100                           18.15%
Linden Ward 8 District 2      473                           112                           23.68%
Linden Ward 8 District 3      608                           200                           32.89%
Linden Ward 8 District 4      608                           162                           26.64%
Linden Ward 9 District 1      681                           168                           24.67%
Linden Ward 9 District 2      570                           144                           25.26%
Linden Ward 9 District 3      434                           126                           29.03%
Linden Ward 9 District 4      534                           118                           22.10%
Linden Ward 9 District 5      440                           117                           26.59%
Linden Ward 10 District 1     608                           144                           23.68%
Linden Ward 10 District 2     383                           112                           29.24%
Linden Ward 10 District 3     857                           185                           21.59%
Linden Ward 10 District 4     667                           180                           26.99%
Linden Ward 1 Mail-In Ballot  0                             7                             0.00%
Linden Ward 2 Mail-In Ballot  0                             6                             0.00%
Linden Ward 3 Mail-In Ballot  0                             11                            0.00%
Linden Ward 4 Mail-In Ballot  0                             8                             0.00%
Linden Ward 5 Mail-In Ballot  0                             36                            0.00%
Linden Ward 6 Mail-In Ballot  0                             4                             0.00%
Linden Ward 7 Mail-In Ballot  0                             7                             0.00%
Linden Ward 8 Mail-In Ballot  0                             8                             0.00%
Linden Ward 9 Mail-In Ballot  0                             18                            0.00%
Linden Ward 10 Mail-In Ballot 0                             14                            0.00%
Linden Ward 1 Provisional     0                             2                             0.00%
Linden Ward 2 Provisional     0                             2                             0.00%
Linden Ward 3 Provisional     0                             4                             0.00%
Linden Ward 4 Provisional     0                             3                             0.00%
Linden Ward 5 Provisional     0                             13                            0.00%
Linden Ward 6 Provisional     0                             1                             0.00%
Linden Ward 7 Provisional     0                             4                             0.00%
Linden Ward 8 Provisional     0                             5                             0.00%
Linden Ward 9 Provisional     0                             0                             0.00%
Linden Ward 10 Provisional    0                             0                             0.00%
Linden Ward 1 Overseas        0                             2                             0.00%
Linden Ward 2 Overseas        0                             0                             0.00%
Linden Ward 3 Overseas        0                             0                             0.00%
Linden Ward 4 Overseas        0                             0                             0.00%
Linden Ward 5 Overseas        0                             0                             0.00%
Linden Ward 6 Overseas        0                             0                             0.00%
Linden Ward 7 Overseas        0                             0                             0.00%
Linden Ward 8 Overseas        0                             0                             0.00%
Linden Ward 9 Overseas        0                             1                             0.00%
Linden Ward 10 Overseas       0                             0                             0.00%
Mountainside District 1       573                           124                           21.64%
Mountainside District 2       491                           120                           24.44%
Mountainside District 3       563                           156                           27.71%
Mountainside District 4       511                           147                           28.77%
Mountainside District 5       657                           163                           24.81%
Mountainside District 6       506                           124                           24.51%
Mountainside District 7       657                           156                           23.74%
Mountainside District 8       508                           118                           23.23%
Mountainside District 9       551                           137                           24.86%
Mountainside Mail-In Ballot   0                             30                            0.00%
Mountainside Provisional      0                             4                             0.00%
Mountainside Overseas         0                             2                             0.00%
New Providence District 1     571                           111                           19.44%
New Providence District 2     979                           225                           22.98%
New Providence District 3     717                           182                           25.38%
New Providence District 4     856                           207                           24.18%
New Providence District 5     837                           183                           21.86%
New Providence District 6     547                           127                           23.22%
New Providence District 7     680                           197                           28.97%
New Providence District 8     895                           230                           25.70%
New Providence District 9     685                           176                           25.69%
New Providence District 10    769                           191                           24.84%
New Providence District 11    874                           193                           22.08%
New Providence Mail-In Ballot 0                             56                            0.00%
New Providence Provisional    0                             12                            0.00%
New Providence Overseas       0                             4                             0.00%
Plainfield Ward 1 District 1  688                           244                           35.47%
Plainfield Ward 1 District 2  1027                          288                           28.04%
Plainfield Ward 1 District 3  465                           159                           34.19%
Plainfield Ward 1 District 4  534                           143                           26.78%
Plainfield Ward 1 District 5  485                           123                           25.36%
Plainfield Ward 1 District 6  665                           193                           29.02%
Plainfield Ward 1 District 7  762                           210                           27.56%
Plainfield Ward 1 District 8  637                           215                           33.75%
Plainfield Ward 2 District 1  717                           175                           24.41%
Plainfield Ward 2 District 2  529                           189                           35.73%
Plainfield Ward 2 District 3  553                           210                           37.97%
Plainfield Ward 2 District 4  676                           191                           28.25%
Plainfield Ward 2 District 5  484                           190                           39.26%
Plainfield Ward 2 District 6  612                           256                           41.83%
Plainfield Ward 2 District 7  650                           214                           32.92%
Plainfield Ward 2 District 8  489                           208                           42.54%
Plainfield Ward 2 District 9  583                           220                           37.74%
Plainfield Ward 2 District 10 443                           179                           40.41%
Plainfield Ward 2 District 11 895                           268                           29.94%
Plainfield Ward 3 District 1  483                           120                           24.84%
Plainfield Ward 3 District 2  558                           167                           29.93%
Plainfield Ward 3 District 3  544                           222                           40.81%
Plainfield Ward 3 District 4  901                           297                           32.96%
Plainfield Ward 3 District 5  504                           233                           46.23%
Plainfield Ward 3 District 6  572                           236                           41.26%
Plainfield Ward 3 District 7  534                           208                           38.95%
Plainfield Ward 3 District 8  506                           170                           33.60%
Plainfield Ward 3 District 9  672                           219                           32.59%
Plainfield Ward 3 District 10 813                           185                           22.76%
Plainfield Ward 4 District 1  1088                          257                           23.62%
Plainfield Ward 4 District 2  1137                          320                           28.14%
Plainfield Ward 4 District 3  865                           208                           24.05%
Plainfield Ward 4 District 4  587                           166                           28.28%
Plainfield Ward 4 District 5  517                           137                           26.50%
Plainfield Ward 1 Mail-In Ballot0                             34                            0.00%
Plainfield Ward 2 Mail-In Ballot0                             67                            0.00%
Plainfield Ward 3 Mail-In Ballot0                             34                            0.00%
Plainfield Ward 4 Mail-In Ballot0                             24                            0.00%
Plainfield Ward 1 Provisional 0                             19                            0.00%
Plainfield Ward 2 Provisional 0                             11                            0.00%
Plainfield Ward 3 Provisional 0                             11                            0.00%
Plainfield Ward 4 Provisional 0                             12                            0.00%
Plainfield Ward 1 Overseas    0                             1                             0.00%
Plainfield Ward 2 Overseas    0                             0                             0.00%
Plainfield Ward 3 Overseas    0                             3                             0.00%
Plainfield Ward 4 Overseas    0                             0                             0.00%
Rahway Ward 1 District 1      611                           171                           27.99%
Rahway Ward 1 District 2      713                           196                           27.49%
Rahway Ward 1 District 3      698                           175                           25.07%
Rahway Ward 1 District 4      618                           139                           22.49%
Rahway Ward 2 District 1      941                           254                           26.99%
Rahway Ward 2 District 2      679                           149                           21.94%
Rahway Ward 2 District 3      722                           176                           24.38%
Rahway Ward 2 District 4      416                           93                            22.36%
Rahway Ward 3 District 1      780                           182                           23.33%
Rahway Ward 3 District 2      607                           143                           23.56%
Rahway Ward 3 District 3      626                           148                           23.64%
Rahway Ward 3 District 4      720                           161                           22.36%
Rahway Ward 3 District 5      366                           124                           33.88%
Rahway Ward 4 District 1      1194                          370                           30.99%
Rahway Ward 4 District 2      937                           240                           25.61%
Rahway Ward 4 District 3      611                           171                           27.99%
Rahway Ward 5 District 1      903                           237                           26.25%
Rahway Ward 5 District 2      663                           179                           27.00%
Rahway Ward 5 District 3      456                           110                           24.12%
Rahway Ward 5 District 4      706                           173                           24.50%
Rahway Ward 6 District 1      795                           208                           26.16%
Rahway Ward 6 District 2      610                           133                           21.80%
Rahway Ward 6 District 3      873                           174                           19.93%
Rahway Ward 6 District 4      635                           164                           25.83%
Rahway Ward 1 Mail-In Ballot  0                             5                             0.00%
Rahway Ward 2 Mail-In Ballot  0                             8                             0.00%
Rahway Ward 3 Mail-In Ballot  0                             14                            0.00%
Rahway Ward 4 Mail-In Ballot  0                             16                            0.00%
Rahway Ward 5 Mail-In Ballot  0                             13                            0.00%
Rahway Ward 6 Mail-In Ballot  0                             5                             0.00%
Rahway Ward 1 Provisional     0                             2                             0.00%
Rahway Ward 2 Provisional     0                             3                             0.00%
Rahway Ward 3 Provisional     0                             3                             0.00%
Rahway Ward 4 Provisional     0                             2                             0.00%
Rahway Ward 5 Provisional     0                             5                             0.00%
Rahway Ward 6 Provisional     0                             6                             0.00%
Rahway Ward 1 Overseas        0                             3                             0.00%
Rahway Ward 2 Overseas        0                             0                             0.00%
Rahway Ward 3 Overseas        0                             0                             0.00%
Rahway Ward 4 Overseas        0                             0                             0.00%
Rahway Ward 5 Overseas        0                             1                             0.00%
Rahway Ward 6 Overseas        0                             0                             0.00%
Roselle Ward 1 District 1     656                           143                           21.80%
Roselle Ward 1 District 2     697                           197                           28.26%
Roselle Ward 1 District 3     486                           141                           29.01%
Roselle Ward 1 District 4     685                           162                           23.65%
Roselle Ward 2 District 1     563                           158                           28.06%
Roselle Ward 2 District 2     575                           175                           30.43%
Roselle Ward 2 District 3     730                           224                           30.68%
Roselle Ward 2 District 4     632                           205                           32.44%
Roselle Ward 3 District 1     450                           116                           25.78%
Roselle Ward 3 District 2     659                           194                           29.44%
Roselle Ward 3 District 3     579                           166                           28.67%
Roselle Ward 3 District 4     727                           234                           32.19%
Roselle Ward 4 District 1     990                           287                           28.99%
Roselle Ward 4 District 2     888                           202                           22.75%
Roselle Ward 4 District 3     615                           275                           44.72%
Roselle Ward 5 District 1     789                           254                           32.19%
Roselle Ward 5 District 2     795                           233                           29.31%
Roselle Ward 5 District 3     520                           129                           24.81%
Roselle Ward 5 District 4     649                           199                           30.66%
Roselle Ward 1 Mail-In Ballot 0                             7                             0.00%
Roselle Ward 2 Mail-In Ballot 0                             14                            0.00%
Roselle Ward 3 Mail-In Ballot 0                             11                            0.00%
Roselle Ward 4 Mail-In Ballot 0                             18                            0.00%
Roselle Ward 5 Mail-In Ballot 0                             18                            0.00%
Roselle Ward 1 Provisional    0                             3                             0.00%
Roselle Ward 2 Provisional    0                             7                             0.00%
Roselle Ward 3 Provisional    0                             5                             0.00%
Roselle Ward 4 Provisional    0                             6                             0.00%
Roselle Ward 5 Provisional    0                             2                             0.00%
Roselle Ward 1 Overseas       0                             0                             0.00%
Roselle Ward 2 Overseas       0                             1                             0.00%
Roselle Ward 3 Overseas       0                             0                             0.00%
Roselle Ward 4 Overseas       0                             0                             0.00%
Roselle Ward 5 Overseas       0                             0                             0.00%
Roselle Park Ward 1 District 1710                           170                           23.94%
Roselle Park Ward 1 District 2877                           208                           23.72%
Roselle Park Ward 2 District 1793                           178                           22.45%
Roselle Park Ward 2 District 2926                           200                           21.60%
Roselle Park Ward 3 District 1554                           120                           21.66%
Roselle Park Ward 3 District 2916                           192                           20.96%
Roselle Park Ward 4 District 1664                           104                           15.66%
Roselle Park Ward 4 District 2777                           167                           21.49%
Roselle Park Ward 5 District 1652                           142                           21.78%
Roselle Park Ward 5 District 21133                          247                           21.80%
Roselle Park Ward 1 Mail-In Ballot0                             5                             0.00%
Roselle Park Ward 2 Mail-In Ballot0                             5                             0.00%
Roselle Park Ward 3 Mail-In Ballot0                             4                             0.00%
Roselle Park Ward 4 Mail-In Ballot0                             5                             0.00%
Roselle Park Ward 5 Mail-In Ballot0                             8                             0.00%
Roselle Park Ward 1 Provisional0                             1                             0.00%
Roselle Park Ward 2 Provisional0                             1                             0.00%
Roselle Park Ward 3 Provisional0                             0                             0.00%
Roselle Park Ward 4 Provisional0                             0                             0.00%
Roselle Park Ward 5 Provisional0                             1                             0.00%
Roselle Park Ward 1 Overseas  0                             0                             0.00%
Roselle Park Ward 2 Overseas  0                             0                             0.00%
Roselle Park Ward 3 Overseas  0                             0                             0.00%
Roselle Park Ward 4 Overseas  0                             1                             0.00%
Roselle Park Ward 5 Overseas  0                             0                             0.00%
Scotch Plains District 1      938                           313                           33.37%
Scotch Plains District 2      763                           249                           32.63%
Scotch Plains District 3      766                           167                           21.80%
Scotch Plains District 4      694                           202                           29.11%
Scotch Plains District 5      696                           198                           28.45%
Scotch Plains District 6      513                           139                           27.10%
Scotch Plains District 7      1078                          288                           26.72%
Scotch Plains District 8      773                           178                           23.03%
Scotch Plains District 9      712                           176                           24.72%
Scotch Plains District 10     666                           212                           31.83%
Scotch Plains District 11     646                           177                           27.40%
Scotch Plains District 12     659                           178                           27.01%
Scotch Plains District 13     668                           187                           27.99%
Scotch Plains District 14     619                           153                           24.72%
Scotch Plains District 15     668                           167                           25.00%
Scotch Plains District 16     921                           235                           25.52%
Scotch Plains District 17     770                           187                           24.29%
Scotch Plains District 18     685                           178                           25.99%
Scotch Plains District 19     795                           208                           26.16%
