




                              Registered Voters             Ballots Cast                  Voter Turnout                 
Garwood Mail-In Ballot        0                             136                           0.00%
Garwood Provisional           0                             18                            0.00%
Garwood Overseas              0                             7                             0.00%
Hillside Ward 1 District 1    1374                          940                           68.41%
Hillside Ward 1 District 2    904                           594                           65.71%
Hillside Ward 1 District 3    1048                          682                           65.08%
Hillside Ward 2 District 1    1323                          818                           61.83%
Hillside Ward 2 District 2    1003                          678                           67.60%
Hillside Ward 2 District 3    992                           625                           63.00%
Hillside Ward 3 District 1    1049                          667                           63.58%
Hillside Ward 3 District 2    1307                          817                           62.51%
Hillside Ward 3 District 3    934                           613                           65.63%
Hillside Ward 4 District 1    913                           573                           62.76%
Hillside Ward 4 District 2    723                           424                           58.64%
Hillside Ward 4 District 3    837                           546                           65.23%
Hillside Ward 4 District 4    1193                          714                           59.85%
Hillside Ward 1 Mail-In Ballot0                             89                            0.00%
Hillside Ward 2 Mail-In Ballot0                             82                            0.00%
Hillside Ward 3 Mail-In Ballot0                             80                            0.00%
Hillside Ward 4 Mail-In Ballot0                             139                           0.00%
Hillside Ward 1 Provisional   0                             37                            0.00%
Hillside Ward 2 Provisional   0                             38                            0.00%
Hillside Ward 3 Provisional   0                             17                            0.00%
Hillside Ward 4 Provisional   0                             45                            0.00%
Hillside Ward 1 Overseas      0                             4                             0.00%
Hillside Ward 2 Overseas      0                             3                             0.00%
Hillside Ward 3 Overseas      0                             4                             0.00%
Hillside Ward 4 Overseas      0                             9                             0.00%
Kenilworth District 1         835                           545                           65.27%
Kenilworth District 2         837                           541                           64.64%
Kenilworth District 3         879                           603                           68.60%
Kenilworth District 4         905                           608                           67.18%
Kenilworth District 5         1030                          667                           64.76%
Kenilworth District 6         912                           574                           62.94%
Kenilworth Mail-In Ballot     0                             254                           0.00%
Kenilworth Provisional        0                             28                            0.00%
Kenilworth Overseas           0                             7                             0.00%
Linden Ward 1 District 1      1005                          684                           68.06%
Linden Ward 1 District 2      753                           463                           61.49%
Linden Ward 1 District 3      703                           446                           63.44%
Linden Ward 2 District 1      883                           545                           61.72%
Linden Ward 2 District 2      700                           427                           61.00%
Linden Ward 2 District 3      645                           388                           60.16%
Linden Ward 3 District 1      776                           489                           63.02%
Linden Ward 3 District 2      477                           306                           64.15%
Linden Ward 3 District 3      1094                          639                           58.41%
Linden Ward 4 District 1      909                           575                           63.26%
Linden Ward 4 District 2      746                           487                           65.28%
Linden Ward 4 District 3      574                           373                           64.98%
Linden Ward 4 District 4      583                           353                           60.55%
Linden Ward 5 District 1      671                           386                           57.53%
Linden Ward 5 District 2      803                           487                           60.65%
Linden Ward 5 District 3      651                           379                           58.22%
Linden Ward 5 District 4      604                           332                           54.97%
Linden Ward 6 District 1      527                           346                           65.65%
Linden Ward 6 District 2      686                           432                           62.97%
Linden Ward 6 District 3      852                           458                           53.76%
Linden Ward 7 District 1      568                           354                           62.32%
Linden Ward 7 District 2      882                           520                           58.96%
Linden Ward 7 District 3      794                           469                           59.07%
Linden Ward 8 District 1      603                           306                           50.75%
Linden Ward 8 District 2      496                           322                           64.92%
Linden Ward 8 District 3      631                           415                           65.77%
Linden Ward 8 District 4      627                           366                           58.37%
Linden Ward 9 District 1      721                           491                           68.10%
Linden Ward 9 District 2      586                           396                           67.58%
Linden Ward 9 District 3      457                           310                           67.83%
Linden Ward 9 District 4      557                           404                           72.53%
Linden Ward 9 District 5      457                           299                           65.43%
Linden Ward 10 District 1     635                           443                           69.76%
Linden Ward 10 District 2     396                           299                           75.51%
Linden Ward 10 District 3     881                           543                           61.63%
Linden Ward 10 District 4     690                           457                           66.23%
Linden Ward 1 Mail-In Ballot  0                             61                            0.00%
Linden Ward 2 Mail-In Ballot  0                             69                            0.00%
Linden Ward 3 Mail-In Ballot  0                             79                            0.00%
Linden Ward 4 Mail-In Ballot  0                             43                            0.00%
Linden Ward 5 Mail-In Ballot  0                             84                            0.00%
Linden Ward 6 Mail-In Ballot  0                             57                            0.00%
Linden Ward 7 Mail-In Ballot  0                             46                            0.00%
Linden Ward 8 Mail-In Ballot  0                             80                            0.00%
Linden Ward 9 Mail-In Ballot  0                             132                           0.00%
Linden Ward 10 Mail-In Ballot 0                             119                           0.00%
Linden Ward 1 Provisional     0                             15                            0.00%
Linden Ward 2 Provisional     0                             18                            0.00%
Linden Ward 3 Provisional     0                             30                            0.00%
Linden Ward 4 Provisional     0                             31                            0.00%
Linden Ward 5 Provisional     0                             30                            0.00%
Linden Ward 6 Provisional     0                             11                            0.00%
Linden Ward 7 Provisional     0                             11                            0.00%
Linden Ward 8 Provisional     0                             16                            0.00%
Linden Ward 9 Provisional     0                             19                            0.00%
Linden Ward 10 Provisional    0                             8                             0.00%
Linden Ward 1 Overseas        0                             3                             0.00%
Linden Ward 2 Overseas        0                             10                            0.00%
Linden Ward 3 Overseas        0                             2                             0.00%
Linden Ward 4 Overseas        0                             1                             0.00%
Linden Ward 5 Overseas        0                             2                             0.00%
Linden Ward 6 Overseas        0                             6                             0.00%
Linden Ward 7 Overseas        0                             0                             0.00%
Linden Ward 8 Overseas        0                             0                             0.00%
Linden Ward 9 Overseas        0                             4                             0.00%
Linden Ward 10 Overseas       0                             10                            0.00%
Mountainside District 1       598                           399                           66.72%
Mountainside District 2       505                           344                           68.12%
Mountainside District 3       572                           408                           71.33%
Mountainside District 4       523                           368                           70.36%
Mountainside District 5       677                           465                           68.69%
Mountainside District 6       533                           373                           69.98%
Mountainside District 7       678                           449                           66.22%
Mountainside District 8       535                           352                           65.79%
Mountainside District 9       576                           405                           70.31%
Mountainside Mail-In Ballot   0                             333                           0.00%
Mountainside Provisional      0                             29                            0.00%
Mountainside Overseas         0                             14                            0.00%
New Providence District 1     643                           429                           66.72%
New Providence District 2     1035                          693                           66.96%
New Providence District 3     744                           501                           67.34%
New Providence District 4     893                           584                           65.40%
New Providence District 5     879                           617                           70.19%
New Providence District 6     587                           377                           64.22%
New Providence District 7     700                           511                           73.00%
New Providence District 8     940                           618                           65.74%
New Providence District 9     882                           583                           66.10%
New Providence District 10    792                           518                           65.40%
New Providence District 11    903                           592                           65.56%
New Providence Mail-In Ballot 0                             594                           0.00%
New Providence Provisional    0                             26                            0.00%
New Providence Overseas       0                             57                            0.00%
Plainfield Ward 1 District 1  733                           460                           62.76%
Plainfield Ward 1 District 2  1112                          599                           53.87%
Plainfield Ward 1 District 3  502                           298                           59.36%
Plainfield Ward 1 District 4  555                           323                           58.20%
Plainfield Ward 1 District 5  508                           303                           59.65%
Plainfield Ward 1 District 6  701                           433                           61.77%
Plainfield Ward 1 District 7  801                           476                           59.43%
Plainfield Ward 1 District 8  657                           400                           60.88%
Plainfield Ward 2 District 1  773                           423                           54.72%
Plainfield Ward 2 District 2  544                           333                           61.21%
Plainfield Ward 2 District 3  561                           375                           66.84%
Plainfield Ward 2 District 4  712                           411                           57.72%
Plainfield Ward 2 District 5  517                           360                           69.63%
Plainfield Ward 2 District 6  631                           384                           60.86%
Plainfield Ward 2 District 7  678                           462                           68.14%
Plainfield Ward 2 District 8  499                           327                           65.53%
Plainfield Ward 2 District 9  616                           421                           68.34%
Plainfield Ward 2 District 10 456                           300                           65.79%
Plainfield Ward 2 District 11 931                           578                           62.08%
Plainfield Ward 3 District 1  513                           277                           54.00%
Plainfield Ward 3 District 2  597                           370                           61.98%
Plainfield Ward 3 District 3  570                           378                           66.32%
Plainfield Ward 3 District 4  971                           554                           57.05%
Plainfield Ward 3 District 5  528                           358                           67.80%
Plainfield Ward 3 District 6  588                           376                           63.95%
Plainfield Ward 3 District 7  552                           376                           68.12%
Plainfield Ward 3 District 8  533                           366                           68.67%
Plainfield Ward 3 District 9  720                           438                           60.83%
Plainfield Ward 3 District 10 841                           430                           51.13%
Plainfield Ward 4 District 1  1156                          603                           52.16%
Plainfield Ward 4 District 2  1173                          688                           58.65%
Plainfield Ward 4 District 3  918                           308                           33.55%
Plainfield Ward 4 District 4  621                           369                           59.42%
Plainfield Ward 4 District 5  553                           540                           97.65%
Plainfield Ward 1 Mail-In Ballot0                             149                           0.00%
Plainfield Ward 2 Mail-In Ballot0                             254                           0.00%
Plainfield Ward 3 Mail-In Ballot0                             230                           0.00%
Plainfield Ward 4 Mail-In Ballot0                             101                           0.00%
Plainfield Ward 1 Provisional 0                             66                            0.00%
Plainfield Ward 2 Provisional 0                             48                            0.00%
Plainfield Ward 3 Provisional 0                             42                            0.00%
Plainfield Ward 4 Provisional 0                             39                            0.00%
Plainfield Ward 1 Overseas    0                             9                             0.00%
Plainfield Ward 2 Overseas    0                             31                            0.00%
Plainfield Ward 3 Overseas    0                             8                             0.00%
Plainfield Ward 4 Overseas    0                             1                             0.00%
Rahway Ward 1 District 1      651                           419                           64.36%
Rahway Ward 1 District 2      740                           436                           58.92%
Rahway Ward 1 District 3      745                           418                           56.11%
Rahway Ward 1 District 4      648                           400                           61.73%
Rahway Ward 2 District 1      994                           611                           61.47%
Rahway Ward 2 District 2      721                           472                           65.46%
Rahway Ward 2 District 3      745                           491                           65.91%
Rahway Ward 2 District 4      435                           279                           64.14%
Rahway Ward 3 District 1      817                           512                           62.67%
Rahway Ward 3 District 2      637                           410                           64.36%
Rahway Ward 3 District 3      652                           454                           69.63%
Rahway Ward 3 District 4      746                           502                           67.29%
Rahway Ward 3 District 5      378                           243                           64.29%
Rahway Ward 4 District 1      1260                          762                           60.48%
Rahway Ward 4 District 2      998                           607                           60.82%
Rahway Ward 4 District 3      665                           441                           66.32%
Rahway Ward 5 District 1      969                           533                           55.01%
Rahway Ward 5 District 2      667                           426                           63.87%
Rahway Ward 5 District 3      465                           290                           62.37%
Rahway Ward 5 District 4      720                           441                           61.25%
Rahway Ward 6 District 1      823                           555                           67.44%
Rahway Ward 6 District 2      643                           423                           65.79%
Rahway Ward 6 District 3      896                           572                           63.84%
Rahway Ward 6 District 4      664                           467                           70.33%
Rahway Ward 1 Mail-In Ballot  0                             96                            0.00%
Rahway Ward 2 Mail-In Ballot  0                             94                            0.00%
Rahway Ward 3 Mail-In Ballot  0                             138                           0.00%
Rahway Ward 4 Mail-In Ballot  0                             81                            0.00%
Rahway Ward 5 Mail-In Ballot  0                             146                           0.00%
Rahway Ward 6 Mail-In Ballot  0                             102                           0.00%
Rahway Ward 1 Provisional     0                             17                            0.00%
Rahway Ward 2 Provisional     0                             20                            0.00%
Rahway Ward 3 Provisional     0                             9                             0.00%
Rahway Ward 4 Provisional     0                             20                            0.00%
Rahway Ward 5 Provisional     0                             17                            0.00%
Rahway Ward 6 Provisional     0                             30                            0.00%
Rahway Ward 1 Overseas        0                             10                            0.00%
Rahway Ward 2 Overseas        0                             3                             0.00%
Rahway Ward 3 Overseas        0                             1                             0.00%
Rahway Ward 4 Overseas        0                             3                             0.00%
Rahway Ward 5 Overseas        0                             3                             0.00%
Rahway Ward 6 Overseas        0                             2                             0.00%
Roselle Ward 1 District 1     688                           414                           60.17%
Roselle Ward 1 District 2     732                           458                           62.57%
Roselle Ward 1 District 3     490                           315                           64.29%
Roselle Ward 1 District 4     718                           410                           57.10%
Roselle Ward 2 District 1     585                           341                           58.29%
Roselle Ward 2 District 2     594                           404                           68.01%
Roselle Ward 2 District 3     757                           475                           62.75%
Roselle Ward 2 District 4     660                           411                           62.27%
Roselle Ward 3 District 1     467                           278                           59.53%
Roselle Ward 3 District 2     688                           417                           60.61%
Roselle Ward 3 District 3     588                           390                           66.33%
Roselle Ward 3 District 4     757                           491                           64.86%
Roselle Ward 4 District 1     1021                          612                           59.94%
Roselle Ward 4 District 2     916                           585                           63.86%
Roselle Ward 4 District 3     645                           399                           61.86%
Roselle Ward 5 District 1     839                           577                           68.77%
Roselle Ward 5 District 2     847                           588                           69.42%
Roselle Ward 5 District 3     558                           338                           60.57%
Roselle Ward 5 District 4     658                           429                           65.20%
Roselle Ward 1 Mail-In Ballot 0                             57                            0.00%
Roselle Ward 2 Mail-In Ballot 0                             70                            0.00%
Roselle Ward 3 Mail-In Ballot 0                             70                            0.00%
Roselle Ward 4 Mail-In Ballot 0                             94                            0.00%
Roselle Ward 5 Mail-In Ballot 0                             94                            0.00%
Roselle Ward 1 Provisional    0                             28                            0.00%
Roselle Ward 2 Provisional    0                             30                            0.00%
Roselle Ward 3 Provisional    0                             24                            0.00%
Roselle Ward 4 Provisional    0                             19                            0.00%
Roselle Ward 5 Provisional    0                             9                             0.00%
Roselle Ward 1 Overseas       0                             3                             0.00%
Roselle Ward 2 Overseas       0                             1                             0.00%
Roselle Ward 3 Overseas       0                             3                             0.00%
Roselle Ward 4 Overseas       0                             6                             0.00%
Roselle Ward 5 Overseas       0                             5                             0.00%
Roselle Park Ward 1 District 1735                           482                           65.58%
Roselle Park Ward 1 District 2917                           594                           64.78%
Roselle Park Ward 2 District 1813                           579                           71.22%
Roselle Park Ward 2 District 2961                           644                           67.01%
Roselle Park Ward 3 District 1593                           372                           62.73%
Roselle Park Ward 3 District 2981                           658                           67.07%
Roselle Park Ward 4 District 1690                           428                           62.03%
Roselle Park Ward 4 District 2831                           519                           62.45%
Roselle Park Ward 5 District 1679                           424                           62.44%
Roselle Park Ward 5 District 21170                          715                           61.11%
Roselle Park Ward 1 Mail-In Ballot0                             44                            0.00%
Roselle Park Ward 2 Mail-In Ballot0                             53                            0.00%
Roselle Park Ward 3 Mail-In Ballot0                             50                            0.00%
Roselle Park Ward 4 Mail-In Ballot0                             40                            0.00%
Roselle Park Ward 5 Mail-In Ballot0                             69                            0.00%
Roselle Park Ward 1 Provisional0                             10                            0.00%
Roselle Park Ward 2 Provisional0                             8                             0.00%
Roselle Park Ward 3 Provisional0                             13                            0.00%
Roselle Park Ward 4 Provisional0                             19                            0.00%
Roselle Park Ward 5 Provisional0                             16                            0.00%
Roselle Park Ward 1 Overseas  0                             2                             0.00%
Roselle Park Ward 2 Overseas  0                             2                             0.00%
Roselle Park Ward 3 Overseas  0                             4                             0.00%
Roselle Park Ward 4 Overseas  0                             4                             0.00%
Roselle Park Ward 5 Overseas  0                             1                             0.00%
Scotch Plains District 1      983                           656                           66.73%
Scotch Plains District 2      805                           545                           67.70%
Scotch Plains District 3      793                           520                           65.57%
Scotch Plains District 4      738                           515                           69.78%
Scotch Plains District 5      723                           536                           74.14%
Scotch Plains District 6      531                           380                           71.56%
Scotch Plains District 7      1135                          801                           70.57%
Scotch Plains District 8      815                           528                           64.79%
Scotch Plains District 9      733                           506                           69.03%
Scotch Plains District 10     691                           491                           71.06%
Scotch Plains District 11     679                           482                           70.99%
Scotch Plains District 12     714                           522                           73.11%
Scotch Plains District 13     691                           483                           69.90%
Scotch Plains District 14     654                           466                           71.25%
Scotch Plains District 15     713                           478                           67.04%
Scotch Plains District 16     989                           640                           64.71%
Scotch Plains District 17     813                           542                           66.67%
Scotch Plains District 18     717                           466                           64.99%
Scotch Plains District 19     826                           553                           66.95%
