Precinct,Registration,Ballots Cast,Turnout (%),"DEMCLINTON - Kaine","REPTRUMP - Pence","INDLaRIVA - Puryear","GRESTEIN - Baraka","LIBJOHNSON - Weld","INDDe La FUENTE - Steinberg","INDKENNEDY - Hart","INDMOOREHEAD - Lily","INDCASTLE - Bradley"," Write-in"
West Milford 3 - Election Day,1272,879,69.10,321,499,2,16,22,3,1,0,1,7
West Milford 4 - Election Day,1505,1013,67.31,314,648,0,10,21,0,0,1,3,7
West Milford 5 - Election Day,746,551,73.86,174,353,0,5,8,0,0,0,0,8
West Milford 6 - Election Day,1182,796,67.34,268,464,2,10,27,1,2,0,5,7
West Milford 7 - Election Day,1895,1233,65.07,382,793,1,10,20,0,0,0,2,15
West Milford 8 - Election Day,1600,1059,66.19,311,694,1,11,23,1,0,0,0,9
West Milford 9 - Election Day,1885,1246,66.10,487,696,0,16,35,0,0,0,1,7
West Milford 10 - Election Day,1933,1279,66.17,394,817,3,17,30,1,0,0,1,12
West Milford 11 - Election Day,1450,947,65.31,335,569,0,8,21,1,1,0,3,5
West Milford 12 - Election Day,1526,974,63.83,332,587,0,14,27,0,0,0,1,6
West Milford 13 - Election Day,1000,650,65.00,202,410,1,2,19,0,0,0,1,10
West Milford Mail-In Ballot - Mail-In,0,842,0.00,368,409,1,16,29,0,0,0,1,15
West Milford Over\Fed - Overseas,0,29,0.00,20,8,0,0,1,0,0,0,0,0
West Milford Prov - Provisional,0,99,0.00,29,66,0,1,3,0,0,0,0,0
Woodland Park 1 - Election Day,839,475,56.62,276,184,1,4,6,0,0,0,1,1
Woodland Park 2 - Election Day,1126,712,63.23,304,372,0,4,10,0,0,0,0,6
Woodland Park 3 - Election Day,1545,906,58.64,467,407,2,15,7,0,0,0,0,3
Woodland Park 4 - Election Day,1644,982,59.73,440,507,2,5,10,0,1,1,1,4
Woodland Park 5 - Election Day,1874,1164,62.11,513,599,0,12,14,1,1,0,0,9
Woodland Park 6 - Election Day,945,504,53.33,314,171,3,4,5,0,1,0,0,0
Woodland Park 7 - Election Day,1052,760,72.24,417,313,0,3,6,0,0,0,1,6
Woodland Park Mail-In Ballot - Ma,0,662,0.00,291,338,0,4,6,0,0,0,2,4
Woodland Park Over\Fed - Overse,0,14,0.00,10,3,0,0,1,0,0,0,0,0
Woodland Park Prov - Provisional,0,97,0.00,45,49,0,1,1,0,0,0,0,1
