




                              Registered Voters             Ballots Cast                  Voter Turnout                 
Franklin W 3 Mail-In Ballot   0                             50                            0.00%
Franklin W 3 Provo            0                             3                             0.00%
Franklin W4 D 25              714                           341                           47.76%
Franklin W4 D 35              682                           201                           29.47%
Franklin W4 D 36              744                           231                           31.05%
Franklin W4 D 37              667                           201                           30.13%
Franklin W4 D 38              777                           196                           25.23%
Franklin W4 D 39              990                           207                           20.91%
Franklin W4 D 40              944                           266                           28.18%
Franklin W4 D 41              586                           137                           23.38%
Franklin W4 D 42              939                           289                           30.78%
Franklin W4 D 43              715                           165                           23.08%
Franklin W 4 Mail-In Ballot   0                             0                             0.00%
Franklin W 4 Provo            0                             0                             0.00%
Franklin W5 D 23              826                           192                           23.24%
Franklin W5 D 44              862                           191                           22.16%
Franklin W5 D 45              909                           220                           24.20%
Franklin W5 D 46              787                           242                           30.75%
Franklin W5 D 47              794                           195                           24.56%
Franklin W5 D 48              527                           173                           32.83%
Franklin W5 D 49              777                           199                           25.61%
Franklin W5 D 50              750                           233                           31.07%
Franklin W5 D 51              880                           233                           26.48%
Franklin W 5 Mail-In Ballot   0                             0                             0.00%
Franklin W 5 Provo            0                             0                             0.00%
Franklin Mail-In Ballot       0                             423                           0.00%
Franklin Provo                0                             48                            0.00%
Green Brook D 1               897                           207                           23.08%
Green Brook D 2               632                           167                           26.42%
Green Brook D 3               930                           188                           20.22%
Green Brook D 4               817                           159                           19.46%
Green Brook D 5               755                           149                           19.74%
Green Brook D 6               646                           130                           20.12%
Green Brook Mail-In Ballot    0                             39                            0.00%
Green Brook Provo             0                             6                             0.00%
Hillsborough D 1              615                           166                           26.99%
Hillsborough D 2              591                           155                           26.23%
Hillsborough D 3              1118                          255                           22.81%
Hillsborough D 4              821                           196                           23.87%
Hillsborough D 5              897                           146                           16.28%
Hillsborough D 6              601                           77                            12.81%
Hillsborough D 7              1319                          305                           23.12%
Hillsborough D 8              584                           171                           29.28%
Hillsborough D 9              1096                          232                           21.17%
Hillsborough D 10             827                           206                           24.91%
Hillsborough D 11             550                           146                           26.55%
Hillsborough D 12             647                           141                           21.79%
Hillsborough D 13             919                           202                           21.98%
Hillsborough D 14             909                           214                           23.54%
Hillsborough D 15             803                           181                           22.54%
Hillsborough D 16             803                           195                           24.28%
Hillsborough D 17             885                           200                           22.60%
Hillsborough D 18             707                           144                           20.37%
Hillsborough D 19             801                           176                           21.97%
Hillsborough D 20             649                           160                           24.65%
Hillsborough D 21             887                           215                           24.24%
Hillsborough D 22             768                           173                           22.53%
Hillsborough D 23             708                           168                           23.73%
Hillsborough D 24             763                           161                           21.10%
Hillsborough D 25             841                           192                           22.83%
Hillsborough D 26             821                           214                           26.07%
Hillsborough D 27             1081                          247                           22.85%
Hillsborough D 28             983                           228                           23.19%
Hillsborough D 29             758                           183                           24.14%
Hillsborough D 30             773                           220                           28.46%
Hillsborough D 31             872                           191                           21.90%
Hillsborough D 32             657                           145                           22.07%
Hillsborough D 33             859                           241                           28.06%
Hillsborough Mail-In Ballot   0                             305                           0.00%
Hillsborough Provo            0                             28                            0.00%
Manville D 1                  772                           209                           27.07%
Manville D 2                  808                           184                           22.77%
Manville D 3                  663                           160                           24.13%
Manville D 4                  790                           182                           23.04%
Manville D 5                  915                           230                           25.14%
Manville D 6                  701                           167                           23.82%
Manville D 7                  616                           136                           22.08%
Manville Mail-In Ballot       0                             51                            0.00%
Manville Provo                0                             6                             0.00%
Millstone D 1                 340                           108                           31.76%
Millstone Mail-In Ballot      0                             5                             0.00%
Millstone Provo               0                             0                             0.00%
Montgomery D 1                739                           167                           22.60%
Montgomery D 2                890                           182                           20.45%
Montgomery D 3                680                           205                           30.15%
Montgomery D 4                645                           196                           30.39%
Montgomery D 5                902                           187                           20.73%
Montgomery D 6                700                           132                           18.86%
Montgomery D 7                896                           198                           22.10%
Montgomery D 8                898                           193                           21.49%
Montgomery D 9                801                           183                           22.85%
Montgomery D 10               733                           157                           21.42%
Montgomery D 11               1032                          255                           24.71%
Montgomery D 12               853                           216                           25.32%
Montgomery D 13               912                           202                           22.15%
Montgomery D 14               530                           145                           27.36%
Montgomery D 15               920                           197                           21.41%
Montgomery D 16               770                           173                           22.47%
Montgomery D 17               932                           195                           20.92%
Montgomery D 18               875                           319                           36.46%
Montgomery D 19               756                           188                           24.87%
Montgomery Mail-In Ballot     0                             156                           0.00%
Montgomery Provo              0                             13                            0.00%
North Plainfield D 1          1008                          280                           27.78%
North Plainfield D 2          848                           272                           32.08%
North Plainfield D 3          802                           186                           23.19%
North Plainfield D 4          814                           212                           26.04%
North Plainfield D 5          787                           224                           28.46%
North Plainfield D 6          1025                          253                           24.68%
North Plainfield D 7          896                           239                           26.67%
North Plainfield D 8          912                           228                           25.00%
North Plainfield D 9          881                           260                           29.51%
North Plainfield D 10         756                           206                           27.25%
North Plainfield D 11         874                           264                           30.21%
North Plainfield D 12         565                           185                           32.74%
North Plainfield Mail-In Ballot0                             53                            0.00%
North Plainfield Provo        0                             10                            0.00%
Peapack Gladstone D 1         979                           290                           29.62%
Peapack Gladstone D 2         904                           225                           24.89%
Peapack Gladstone Mail-In Ballot0                             26                            0.00%
Peapack Gladstone Provo       0                             2                             0.00%
Raritan D 1                   964                           179                           18.57%
Raritan D 2                   1213                          306                           25.23%
Raritan D 3                   579                           133                           22.97%
Raritan D 4                   920                           180                           19.57%
Raritan D 5                   723                           149                           20.61%
Raritan Mail-In Ballot        0                             50                            0.00%
Raritan Provo                 0                             2                             0.00%
Rocky Hill D 1                537                           173                           32.22%
Rocky Hill Mail-In Ballot     0                             6                             0.00%
Rocky Hill Provo              0                             0                             0.00%
Somerville D 1                583                           215                           36.88%
Somerville D 2                783                           208                           26.56%
Somerville D 3                867                           211                           24.34%
Somerville D 4                752                           251                           33.38%
Somerville D 5                808                           189                           23.39%
Somerville D 6                552                           156                           28.26%
Somerville D 7                779                           229                           29.40%
Somerville D 8                843                           192                           22.78%
Somerville D 9                616                           176                           28.57%
Somerville Mail-In Ballot     0                             63                            0.00%
Somerville Provo              0                             15                            0.00%
South Bound Brook D 1         876                           246                           28.08%
South Bound Brook D 2         963                           202                           20.98%
South Bound Brook D 3         740                           179                           24.19%
South Bound Brook Mail-In Ballot0                             11                            0.00%
South Bound Brook Provo       0                             1                             0.00%
Warren D 1                    785                           160                           20.38%
Warren D 2                    752                           470                           62.50%
Warren D 3                    942                           220                           23.35%
Warren D 4                    902                           209                           23.17%
Warren D 5                    889                           205                           23.06%
Warren D 6                    789                           188                           23.83%
Warren D 7                    906                           204                           22.52%
Warren D 8                    842                           186                           22.09%
Warren D 9                    858                           187                           21.79%
Warren D 10                   886                           199                           22.46%
Warren D 11                   849                           182                           21.44%
Warren D 12                   1216                          255                           20.97%
Warren D 13                   896                           160                           17.86%
Warren Mail-In Ballot         0                             130                           0.00%
Warren Provo                  0                             7                             0.00%
Watchung D 1                  836                           220                           26.32%
Watchung D 2                  946                           234                           24.74%
Watchung D 3                  755                           231                           30.60%
Watchung D 4                  892                           263                           29.48%
Watchung D 5                  950                           204                           21.47%
Watchung Mail-In Ballot       0                             51                            0.00%
Watchung Provo                0                             2                             0.00%
Federal Oversees Mail-In Ballot 9th Delegate Dist0                             0                             0.00%
Federal Oversees Mail-In Ballot 10th Delegate Dist0                             0                             0.00%
Federal Oversees Mail-In Ballot 12th Delegate Dist0                             0                             0.00%
Total:                        212280                        56309                         26.53%

                                                                                                           REP - President (Vote For 1)
                                                            Donald J. TRUMP                                             John R. KASICH                                              Ted CRUZ                                                    
                              Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Bedminster D 1                487                           77                            77                            25                            25                            4                             4                             106                           
Bedminster D 2                648                           88                            88                            22                            22                            7                             7                             117                           
Bedminster D 3                605                           72                            72                            23                            23                            0                             0                             95                            
Bedminster D 4                719                           76                            76                            28                            28                            2                             2                             106                           
Bedminster D 5                1007                          81                            81                            21                            21                            7                             7                             109                           
Bedminster D 6                896                           95                            95                            18                            18                            6                             6                             119                           
Bedminster D 7                876                           94                            94                            21                            21                            6                             6                             121                           
Bedminster D 8                712                           47                            47                            14                            14                            3                             3                             64                            
Bedminster D 9                512                           53                            53                            10                            10                            3                             3                             66                            
Bedminster Mail-In Ballot     0                             24                            24                            10                            10                            0                             0                             34                            
Bedminster Provo              0                             0                             0                             0                             0                             0                             0                             0                             
Bernards D 1                  599                           54                            54                            28                            28                            4                             4                             86                            
Bernards D 2                  807                           90                            90                            36                            36                            8                             8                             134                           
Bernards D 3                  737                           101                           101                           24                            24                            10                            10                            135                           
Bernards D 4                  748                           53                            53                            28                            28                            6                             6                             87                            
Bernards D 5                  800                           102                           102                           24                            24                            4                             4                             130                           
Bernards D 6                  823                           80                            80                            35                            35                            10                            10                            125                           
Bernards D 7                  730                           88                            88                            35                            35                            10                            10                            133                           
Bernards D 8                  890                           89                            89                            37                            37                            10                            10                            136                           
Bernards D 9                  950                           98                            98                            38                            38                            6                             6                             142                           
Bernards D 10                 952                           125                           125                           53                            53                            11                            11                            189                           
Bernards D 11                 835                           85                            85                            25                            25                            7                             7                             117                           
Bernards D 12                 914                           89                            89                            36                            36                            7                             7                             132                           
Bernards D 13                 962                           106                           106                           31                            31                            5                             5                             142                           
Bernards D 14                 894                           75                            75                            35                            35                            7                             7                             117                           
Bernards D 15                 789                           81                            81                            21                            21                            11                            11                            113                           
Bernards D 16                 497                           58                            58                            6                             6                             0                             0                             64                            
Bernards D 17                 888                           77                            77                            38                            38                            5                             5                             120                           
Bernards D 18                 877                           101                           101                           26                            26                            11                            11                            138                           
Bernards D 19                 870                           104                           104                           19                            19                            5                             5                             128                           
Bernards D 20                 796                           128                           128                           63                            63                            14                            14                            205                           
Bernards D 21                 759                           48                            48                            18                            18                            3                             3                             69                            
Bernards D 22                 667                           43                            43                            11                            11                            3                             3                             57                            
Bernards D 23                 665                           68                            68                            13                            13                            0                             0                             81                            
Bernards D 24                 686                           65                            65                            10                            10                            3                             3                             78                            
Bernards Mail-In Ballot       0                             84                            84                            45                            45                            7                             7                             136                           
Bernards Provo                0                             6                             6                             1                             1                             0                             0                             7                             
Bernardsville D 1             853                           86                            86                            44                            44                            6                             6                             136                           
Bernardsville D 2             746                           98                            98                            35                            35                            8                             8                             141                           
Bernardsville D 3             822                           66                            66                            20                            20                            3                             3                             89                            
Bernardsville D 4             778                           86                            86                            34                            34                            9                             9                             129                           
Bernardsville D 5             734                           98                            98                            27                            27                            10                            10                            135                           
Bernardsville D 6             845                           76                            76                            33                            33                            4                             4                             113                           
Bernardsville D 7             783                           91                            91                            36                            36                            7                             7                             134                           
Bernardsville Mail-In Ballot  0                             41                            41                            13                            13                            3                             3                             57                            
Bernardsville Provo           0                             0                             0                             1                             1                             0                             0                             1                             
Bound Brook D 1               905                           47                            47                            6                             6                             1                             1                             54                            
