"precinct","registration","ballots cast","Turnout","CLINTON - KAINEDEM","TRUMP - PENCEREP","De La FUENTE - STEINBERGIND","CASTLE - BRADLEYIND","KENNEDY - HARTIND","La RIVA - PURYEARIND","STEIN - BARAKAGRE","MOOREHEAD - LILLYIND","JOHNSON - WELDLIB","Write-in "
Bloomfield 1-7 - Election Day,929,574,61.79,359,184,0,3,0,0,8,0,11,4
Bloomfield 1-8 - Election Day,792,486,61.36,311,152,2,1,0,2,5,1,5,4
Bloomfield 1-9 - Election Day,903,528,58.47,357,141,0,0,0,0,10,0,12,2
Bloomfield 1-10 - Election Day,625,377,60.32,245,114,0,0,0,0,6,0,9,3
Bloomfield 1-11 - Election Day,1431,841,58.77,523,269,1,3,0,0,17,0,19,5
Bloomfield 1-12 - Election Day,904,515,56.97,318,165,1,2,0,0,13,0,6,6
Bloomfield 2-1 - Election Day,1004,656,65.34,396,222,0,0,0,0,8,0,6,10
Bloomfield 2-2 - Election Day,981,614,62.59,429,153,1,1,0,0,18,0,7,1
Bloomfield 2-3 - Election Day,838,580,69.21,320,233,2,0,0,0,7,0,12,1
Bloomfield 2-4 - Election Day,874,542,62.01,308,208,2,2,0,0,6,0,6,4
Bloomfield 2-5 - Election Day,1096,681,62.14,386,250,2,1,0,0,7,0,14,10
Bloomfield 2-6 - Election Day,1439,876,60.88,593,244,0,1,0,0,11,0,11,9
Bloomfield 2-7 - Election Day,963,609,63.24,399,187,1,0,0,0,4,0,9,4
Bloomfield 2-8 - Election Day,1162,788,67.81,391,362,0,1,0,0,8,0,14,4
Bloomfield 2-9 - Election Day,1326,906,68.33,486,368,4,1,0,1,15,0,15,8
Bloomfield 2-10 - Election Day,1228,751,61.16,463,251,2,2,0,0,10,0,11,5
Bloomfield 2-11 - Election Day,814,548,67.32,303,220,1,0,0,0,8,0,11,3
Bloomfield 3-1 - Election Day,1315,745,56.65,589,124,1,0,0,0,8,0,14,4
Bloomfield 3-2 - Election Day,795,478,60.13,373,92,0,0,1,0,2,0,7,2
Bloomfield 3-4 - Election Day,913,551,60.35,463,59,1,0,0,0,11,0,4,7
Bloomfield 3-5 - Election Day,996,496,49.80,433,48,1,1,0,0,5,0,2,2
Bloomfield 3-6 - Election Day,896,493,55.02,395,74,1,0,3,0,7,0,4,4
Bloomfield 3-7 - Election Day,823,497,60.39,399,74,0,0,1,1,6,0,7,7
Bloomfield 3-8 - Election Day,713,416,58.35,332,69,2,1,0,0,3,0,2,5
Bloomfield 3-9 - Election Day,726,402,55.37,329,57,2,0,1,1,3,0,1,3
Bloomfield 3-10 - Election Day,760,436,57.37,363,66,2,0,0,0,2,0,2,0
Bloomfield 3-11 - Election Day,694,387,55.76,261,110,0,0,1,0,3,0,5,4
Bloomfield 3-12 - Election Day,828,456,55.07,332,102,0,0,0,0,9,0,6,4
Bloomfield 3-13 - Election Day,843,469,55.63,344,108,1,0,0,1,7,0,2,2
Bloomfield 3-14 - Election Day,751,399,53.13,298,88,0,0,1,0,6,1,2,1
Caldwell 1 - Election Day,622,437,70.26,186,227,0,1,0,0,2,0,8,5
Caldwell 2 - Election Day,535,318,59.44,162,141,2,2,0,0,2,0,7,1
Caldwell 3 - Election Day,556,350,62.95,161,170,0,0,1,0,1,0,7,5
Caldwell 4 - Election Day,871,572,65.67,289,253,1,1,0,0,6,0,12,2
Caldwell 5 - Election Day,993,639,64.35,320,272,2,2,1,1,11,0,17,8
Caldwell 6 - Election Day,864,528,61.11,271,222,1,3,1,0,2,0,13,10
Caldwell 7 - Election Day,1261,372,29.50,178,173,1,0,0,0,8,0,6,1
Cedar Grove 1 - Election Day,774,564,72.87,212,326,0,1,0,0,3,0,8,3
Cedar Grove 2 - Election Day,1293,846,65.43,351,457,0,2,0,0,3,0,14,4
Cedar Grove 3 - Election Day,1011,668,66.07,264,376,1,0,0,0,5,0,10,8
Cedar Grove 4 - Election Day,1145,768,67.07,308,420,0,0,0,0,9,0,10,8
Cedar Grove 5 - Election Day,830,505,60.84,208,284,0,0,0,0,1,0,6,2
Cedar Grove 6 - Election Day,706,492,69.69,192,268,0,1,0,0,4,0,14,6
Cedar Grove 7 - Election Day,1103,713,64.64,238,447,0,0,0,1,4,0,9,5
Cedar Grove 8 - Election Day,876,545,62.21,224,297,1,1,1,0,3,0,7,4
Cedar Grove 9 - Election Day,829,590,71.17,252,316,1,0,0,0,1,0,7,6
Cedar Grove 10 - Election Day,1001,564,56.34,242,305,0,2,0,0,3,0,6,1
East Orange 1-1 - Election Day,810,412,50.86,392,12,0,0,0,0,3,0,1,0
East Orange 1-2 - Election Day,849,478,56.30,452,14,3,1,0,0,1,0,0,1
East Orange 1-3 - Election Day,812,396,48.77,374,12,0,2,0,0,3,0,0,2
East Orange 1-4 - Election Day,630,334,53.02,324,5,0,0,0,0,2,0,2,0
East Orange 1-5 - Election Day,1127,602,53.42,569,12,0,0,0,0,9,1,3,2
East Orange 1-6 - Election Day,754,502,66.58,457,26,2,0,0,0,5,1,3,3
East Orange 1-7 - Election Day,1049,539,51.38,512,12,0,0,0,0,8,0,0,1
East Orange 1-9 - Election Day,1302,660,50.69,638,10,1,0,0,0,2,0,1,3
East Orange 1-10 - Election Day,808,438,54.21,416,11,0,0,0,0,7,0,1,1
East Orange 1-11 - Election Day,968,538,55.58,520,11,0,0,0,0,4,0,0,1
East Orange 2-1 - Election Day,1029,522,50.73,491,19,0,1,0,0,6,1,0,0
East Orange 2-2 - Election Day,1042,489,46.93,464,17,1,0,0,0,2,0,1,0
East Orange 2-3 - Election Day,1019,475,46.61,460,9,0,1,0,0,3,0,0,0
East Orange 2-4 - Election Day,1046,432,41.30,415,10,0,0,0,0,3,0,1,0
East Orange 2-7 - Election Day,1418,649,45.77,619,11,0,0,0,0,8,0,3,1
East Orange 2-10 - Election Day,984,427,43.39,408,6,0,1,1,0,5,2,0,1
East Orange 2-11 - Election Day,1041,470,45.15,444,13,1,0,0,0,3,3,1,1
East Orange 2-12 - Election Day,688,326,47.38,307,12,0,0,0,0,1,0,0,3
East Orange 3-1 - Election Day,708,410,57.91,389,2,0,0,0,0,9,0,2,1
East Orange 3-2 - Election Day,850,411,48.35,401,5,1,0,1,0,0,0,0,1
East Orange 3-3 - Election Day,579,307,53.02,291,13,0,0,0,0,0,1,0,0
East Orange 3-4 - Election Day,849,417,49.12,409,4,1,0,0,0,3,0,0,0
East Orange 3-5 - Election Day,750,373,49.73,362,6,0,0,0,0,1,1,0,1
East Orange 3-6 - Election Day,719,367,51.04,345,14,0,0,0,0,5,0,0,0
East Orange 3-9 - Election Day,1108,587,52.98,559,15,0,0,0,0,5,0,0,1
East Orange 3-10 - Election Day,691,393,56.87,367,21,0,0,0,0,2,0,2,0
East Orange 3-11 - Election Day,1010,585,57.92,559,9,1,1,0,0,2,1,1,6
East Orange 3-12 - Election Day,892,484,54.26,473,5,0,0,0,0,3,2,0,1
East Orange 3-14 - Election Day,1133,559,49.34,529,14,0,0,0,0,6,0,0,1
East Orange 4-1 - Election Day,1172,535,45.65,513,12,0,0,0,0,5,0,0,1
East Orange 4-2 - Election Day,559,256,45.80,247,4,0,0,0,0,3,0,2,0
East Orange 4-4 - Election Day,1113,574,51.57,546,14,0,1,0,0,8,0,0,0
East Orange 4-5 - Election Day,675,324,48.00,314,6,1,0,0,0,0,0,1,0
East Orange 4-6 - Election Day,1029,423,41.11,402,6,2,0,0,0,5,0,1,1
East Orange 4-7 - Election Day,1242,436,35.10,413,14,1,0,0,0,4,0,3,1
East Orange 4-10 - Election Day,1438,596,41.45,563,19,1,0,0,0,5,1,0,1
East Orange 4-13 - Election Day,1135,517,45.55,493,11,2,0,0,0,3,1,1,3
East Orange 5-1 - Election Day,966,401,41.51,390,4,0,0,0,0,1,0,0,1
East Orange 5-3 - Election Day,1398,653,46.71,613,29,0,1,0,0,3,1,3,2
East Orange 5-4 - Election Day,625,229,36.64,225,4,0,0,0,0,0,0,0,0
East Orange 5-5 - Election Day,934,445,47.64,416,19,0,0,0,2,2,1,3,0
East Orange 5-6 - Election Day,1043,526,50.43,503,12,0,0,0,0,1,0,1,3
East Orange 5-7 - Election Day,603,331,54.89,313,9,0,0,0,0,3,0,2,0
East Orange 5-8 - Election Day,734,462,62.94,443,8,0,0,0,0,4,1,3,1
East Orange 5-9 - Election Day,644,345,53.57,333,6,1,0,0,0,2,0,2,0
East Orange 5-10 - Election Day,841,330,39.24,320,4,0,0,0,0,4,0,1,0
East Orange 5-12 - Election Day,646,336,52.01,314,8,0,0,0,0,4,1,0,0
East Orange 5-13 - Election Day,983,546,55.54,507,25,0,0,0,0,6,1,2,1
Essex Fells 1 - Election Day,746,464,62.20,152,279,0,0,0,0,3,0,19,6
Essex Fells 2 - Election Day,1164,736,63.23,313,372,1,0,1,0,1,0,17,11
Fairfield 1 - Election Day,978,631,64.52,125,483,1,0,1,1,1,0,5,3
Fairfield 2 - Election Day,1532,905,59.07,289,580,1,1,1,1,4,0,8,10
Fairfield 3 - Election Day,1396,933,66.83,191,720,0,0,1,0,6,0,7,2
Fairfield 4 - Election Day,1105,746,67.51,198,525,0,0,1,0,1,1,8,7
Fairfield 5 - Election Day,787,492,62.52,104,373,0,0,0,0,5,0,5,1
Glen Ridge 1 - Election Day,816,519,63.60,388,101,0,2,0,0,4,0,15,7
Glen Ridge 2 - Election Day,1238,783,63.25,545,182,0,1,0,0,8,0,25,11
Glen Ridge 3 - Election Day,670,457,68.21,346,86,1,3,0,1,2,0,11,4
Glen Ridge 4 - Election Day,949,632,66.60,387,206,0,1,1,0,6,0,16,6
Glen Ridge 5 - Election Day,591,400,67.68,305,71,0,0,0,0,4,0,9,7
Glen Ridge 7 - Election Day,905,600,66.30,450,123,2,0,0,0,3,0,10,7
Glen Ridge 8 - Election Day,703,470,66.86,303,145,0,0,1,0,4,0,11,4
Irvington N-1 - Election Day,770,420,54.55,391,18,1,0,0,1,3,0,1,2
Irvington N-2 - Election Day,1137,560,49.25,528,19,0,0,0,0,4,0,1,3
Irvington N-3 - Election Day,958,501,52.30,476,17,0,3,0,0,3,0,0,1
Irvington N-4 - Election Day,803,417,51.93,398,11,1,0,0,0,2,0,1,1
Irvington N-5 - Election Day,1037,533,51.40,508,16,0,1,0,0,4,0,1,2
Irvington N-6 - Election Day,1348,724,53.71,680,25,1,0,0,0,9,0,1,1
Irvington N-7 - Election Day,1003,502,50.05,487,8,0,1,0,0,5,0,0,0
Irvington N-8 - Election Day,770,393,51.04,382,7,0,0,0,0,0,0,1,0
Irvington N-9 - Election Day,659,316,47.95,308,5,0,0,0,0,1,0,0,2
Irvington S-1 - Election Day,1398,668,47.78,637,24,1,0,0,0,1,0,1,0
Irvington S-2 - Election Day,797,315,39.52,300,10,0,0,0,0,1,0,1,1
Irvington S-3 - Election Day,1251,694,55.48,661,19,0,0,0,0,4,1,1,2
Irvington S-5 - Election Day,531,250,47.08,240,6,0,0,0,0,1,0,0,0
Irvington S-7 - Election Day,1172,567,48.38,534,26,0,0,0,0,4,0,0,1
Irvington S-8 - Election Day,1233,678,54.99,646,19,1,1,0,1,4,0,1,2
Irvington S-9 - Election Day,684,335,48.98,315,15,1,0,0,0,3,0,0,0
Irvington S-10 - Election Day,969,474,48.92,442,20,2,0,0,1,4,0,2,1
Irvington S-11 - Election Day,808,383,47.40,364,6,1,0,2,0,5,0,0,1
Irvington E-1 - Election Day,1068,510,47.75,486,16,0,1,0,0,1,0,3,0
Irvington E-2 - Election Day,1035,496,47.92,465,20,0,0,0,0,4,0,1,2
Irvington E-3 - Election Day,810,419,51.73,402,8,0,0,0,0,4,0,2,1
Irvington E-4 - Election Day,1491,647,43.39,625,13,0,0,0,1,3,1,0,1
Irvington E-5 - Election Day,1167,467,40.02,442,13,0,0,1,0,3,0,0,0
Irvington E-8 - Election Day,1140,520,45.61,500,14,0,2,0,0,0,0,1,1
Irvington E-9 - Election Day,1045,376,35.98,366,4,0,1,0,0,3,0,0,1
Irvington E-10 - Election Day,718,313,43.59,302,7,0,0,1,0,1,0,0,0
Irvington W-1 - Election Day,1133,622,54.90,583,24,1,0,0,0,7,0,3,2
Irvington W-2 - Election Day,895,481,53.74,449,21,0,0,0,0,3,0,0,1
Irvington W-3 - Election Day,780,410,52.56,372,28,1,0,0,0,2,0,1,2
Irvington W-4 - Election Day,750,379,50.53,351,17,1,0,0,0,5,0,3,0
Irvington W-6 - Election Day,740,342,46.22,319,19,0,0,0,0,0,0,0,2
Irvington W-7 - Election Day,814,446,54.79,417,19,0,1,0,1,2,0,2,2
Irvington W-8 - Election Day,1435,697,48.57,650,27,0,0,0,0,7,1,2,4
Irvington W-9 - Election Day,1057,547,51.75,518,19,0,0,0,0,0,0,1,3
Livingston 1 - Election Day,779,506,64.96,292,188,0,0,0,0,5,0,10,2
Livingston 2 - Election Day,924,584,63.20,338,221,0,0,0,0,1,0,11,5
Livingston 3 - Election Day,1035,658,63.57,351,271,0,0,1,1,5,0,12,9
Livingston 4 - Election Day,796,466,58.54,249,200,0,1,0,0,2,0,6,3
Livingston 5 - Election Day,1136,746,65.67,424,284,1,1,1,0,6,0,15,7
Livingston 6 - Election Day,817,521,63.77,287,213,1,2,1,0,3,0,12,0
Livingston 7 - Election Day,711,455,63.99,289,142,0,1,0,0,2,1,10,4
Livingston 8 - Election Day,830,512,61.69,320,172,0,0,0,0,3,0,5,6
Livingston 9 - Election Day,663,394,59.43,234,140,0,0,0,0,1,0,8,2
Livingston 10 - Election Day,1275,790,61.96,428,320,0,1,2,0,8,0,15,7
Livingston 11 - Election Day,1083,580,53.55,339,222,0,0,1,0,2,0,7,3
Livingston 12 - Election Day,1065,610,57.28,352,228,1,1,0,0,0,0,16,8
Livingston 13 - Election Day,842,516,61.28,305,180,0,0,0,0,6,0,8,5
Livingston 14 - Election Day,1133,639,56.40,323,289,0,0,0,0,5,0,9,5
Livingston 15 - Election Day,796,504,63.32,269,210,0,1,0,0,3,0,11,3
Livingston 16 - Election Day,649,406,62.56,236,150,2,0,1,0,3,0,2,5
Livingston 17 - Election Day,926,450,48.60,274,155,0,0,0,0,5,0,3,8
Livingston 18 - Election Day,708,507,71.61,299,182,1,0,0,0,0,1,8,5
Livingston 19 - Election Day,1101,665,60.40,375,270,1,0,0,0,0,1,4,8
Livingston 20 - Election Day,842,473,56.18,310,147,0,0,0,0,3,0,6,2
Livingston 21 - Election Day,796,470,59.05,329,125,0,0,0,0,2,0,8,2
Livingston 22 - Election Day,775,487,62.84,319,149,0,0,0,0,4,0,8,4
Livingston 23 - Election Day,583,349,59.86,194,138,0,0,0,0,3,0,7,2
Livingston 24 - Election Day,678,351,51.77,198,132,1,0,0,0,2,0,9,3
Livingston 25 - Election Day,892,524,58.74,325,181,0,0,0,0,1,0,4,4
Livingston 26 - Election Day,829,493,59.47,299,170,0,0,0,0,0,1,9,4
Maplewood 1 - Election Day,828,506,61.11,420,66,0,1,0,1,4,0,5,4
Maplewood 2 - Election Day,1198,761,63.52,654,77,0,0,0,0,8,0,15,5
Maplewood 3 - Election Day,1073,693,64.59,608,54,1,1,0,0,10,1,9,5
Maplewood 4 - Election Day,861,552,64.11,485,47,0,0,0,1,11,0,3,2
Maplewood 5 - Election Day,818,517,63.20,440,49,1,0,0,0,15,1,7,2
Maplewood 6 - Election Day,860,530,61.63,456,55,1,0,0,0,9,0,2,1
Maplewood 7 - Election Day,931,581,62.41,481,76,0,1,1,0,3,0,9,6
Maplewood 8 - Election Day,867,517,59.63,435,61,0,0,0,0,2,0,14,5
Maplewood 9 - Election Day,700,457,65.29,383,58,0,0,0,0,3,1,4,4
Maplewood 10 - Election Day,973,571,58.68,486,72,1,0,0,0,4,0,0,2
Maplewood 11 - Election Day,1565,951,60.77,835,75,1,0,0,1,18,0,8,6
Maplewood 12 - Election Day,806,510,63.28,445,47,0,1,0,0,7,0,5,0
Maplewood 13 - Election Day,1210,601,49.67,524,53,3,0,0,0,5,0,1,2
Maplewood 14 - Election Day,691,446,64.54,404,26,0,1,0,0,4,0,0,5
Maplewood 15 - Election Day,721,478,66.30,419,44,1,0,0,1,5,0,4,3
Maplewood 16 - Election Day,808,527,65.22,466,40,0,1,0,0,5,0,6,6
Maplewood 17 - Election Day,937,591,63.07,484,68,0,2,0,0,15,0,12,5
Maplewood 19 - Election Day,700,448,64.00,381,52,0,0,0,0,10,0,1,2
Maplewood 20 - Election Day,683,448,65.59,379,46,0,0,0,0,6,0,10,5
Maplewood 21 - Election Day,1150,727,63.22,664,45,1,1,0,0,8,0,2,2
Maplewood 22 - Election Day,977,597,61.11,531,50,0,1,0,0,7,1,3,2
Millburn 1 - Election Day,1074,625,58.19,379,203,1,2,1,0,5,0,15,10
Millburn 2 - Election Day,998,635,63.63,471,137,0,0,0,0,4,0,12,3
Millburn 3 - Election Day,1049,577,55.00,353,182,0,0,0,0,5,0,20,11
Millburn 4 - Election Day,998,586,58.72,400,156,1,1,0,0,2,0,13,8
Millburn 5 - Election Day,704,384,54.55,240,121,1,0,0,0,3,0,10,6
Millburn 6 - Election Day,957,562,58.73,387,148,0,0,0,0,2,0,10,7
Millburn 7 - Election Day,1123,685,61.00,513,130,0,0,1,0,11,0,13,9
Millburn 8 - Election Day,895,479,53.52,309,143,0,1,0,0,1,1,15,3
Millburn 9 - Election Day,950,473,49.79,282,160,0,0,0,0,3,0,17,6
Millburn 10 - Election Day,759,459,60.47,337,100,0,0,0,0,5,0,6,6
Millburn 11 - Election Day,985,530,53.81,327,163,0,0,0,0,1,0,17,8
Millburn 12 - Election Day,1190,682,57.31,425,225,0,0,0,0,2,0,12,6
Millburn 13 - Election Day,1253,654,52.19,387,213,0,0,0,0,5,0,22,11
Millburn 14 - Election Day,843,458,54.33,289,141,0,0,0,0,1,0,10,9
Millburn 15 - Election Day,861,465,54.01,316,112,2,2,0,0,4,0,15,11
Millburn 16 - Election Day,1105,641,58.01,399,204,0,0,0,0,3,0,13,8
Montclair 1-1 - Election Day,821,499,60.78,391,73,0,0,0,0,10,0,13,10
Montclair 1-2 - Election Day,805,493,61.24,406,65,0,0,0,0,6,0,7,7
Montclair 1-3 - Election Day,932,608,65.24,482,93,0,0,0,1,5,0,16,6
Montclair 1-4 - Election Day,1103,702,63.64,564,105,0,0,0,0,10,0,15,5
Montclair 1-5 - Election Day,918,576,62.75,466,81,1,0,0,0,9,0,6,8
Montclair 1-6 - Election Day,696,400,57.47,325,52,1,0,0,0,1,0,8,8
Montclair 1-7 - Election Day,753,476,63.21,365,88,0,0,0,0,2,0,10,6
Montclair 1-8 - Election Day,784,480,61.22,377,76,0,0,0,0,1,0,10,9
Montclair 1-9 - Election Day,1051,576,54.80,482,67,0,0,0,0,10,0,10,5
Montclair 2-1 - Election Day,908,542,59.69,437,78,0,0,0,0,3,0,13,5
Montclair 2-2 - Election Day,795,487,61.26,428,35,1,0,0,0,6,0,10,5
Montclair 2-3 - Election Day,778,458,58.87,402,44,0,0,0,0,2,0,7,2
Montclair 2-4 - Election Day,687,410,59.68,358,25,0,0,0,0,7,0,10,7
Montclair 2-5 - Election Day,592,392,66.22,339,46,0,0,0,0,1,0,4,0
Montclair 2-6 - Election Day,895,583,65.14,505,61,2,0,1,0,6,0,4,4
Montclair 2-7 - Election Day,683,393,57.54,330,44,1,0,0,0,9,0,5,2
Montclair 2-8 - Election Day,935,600,64.17,534,49,0,0,0,0,6,0,4,2
Montclair 2-9 - Election Day,1017,643,63.23,509,107,0,0,0,0,3,0,7,6
Montclair 2-10 - Election Day,1057,663,62.72,539,82,1,1,0,1,13,1,12,9
Montclair 3-1 - Election Day,1001,580,57.94,470,80,0,1,0,0,11,2,8,5
Montclair 3-2 - Election Day,914,544,59.52,449,69,0,2,0,0,8,0,7,6
Montclair 3-3 - Election Day,828,498,60.14,440,42,0,0,0,0,9,0,4,1
Montclair 3-4 - Election Day,634,412,64.98,347,57,0,0,0,0,1,0,0,5
Montclair 3-5 - Election Day,923,542,58.72,467,52,0,2,1,0,9,0,6,2
Montclair 3-6 - Election Day,1293,760,58.78,665,58,1,1,0,0,12,0,12,5
Montclair 3-7 - Election Day,890,483,54.27,373,84,0,0,0,0,2,0,13,5
Montclair 3-8 - Election Day,1064,605,56.86,447,101,0,0,0,0,30,0,11,13
Montclair 4-1 - Election Day,984,629,63.92,508,89,1,0,0,0,15,0,10,3
Montclair 4-2 - Election Day,946,559,59.09,520,15,0,1,2,0,10,0,5,3
Montclair 4-3 - Election Day,801,486,60.67,453,18,1,0,0,0,7,0,3,2
Montclair 4-4 - Election Day,1089,635,58.31,582,29,0,1,2,0,7,0,1,8
Montclair 4-5 - Election Day,1134,674,59.44,572,63,0,1,0,1,15,1,12,9
Montclair 4-6 - Election Day,1044,674,64.56,623,31,1,2,0,1,7,0,3,1
Montclair 4-7 - Election Day,1080,731,67.69,673,30,0,6,0,0,7,0,6,5
Montclair 4-8 - Election Day,775,449,57.94,377,42,1,0,2,1,11,0,6,4
Newark N-1 - Election Day,1258,633,50.32,508,108,3,1,0,0,6,0,1,3
Newark N-2 - Election Day,760,356,46.84,294,47,0,0,2,0,2,1,2,3
Newark N-3 - Election Day,1087,510,46.92,432,66,1,0,0,1,2,0,0,3
Newark N-4 - Election Day,641,315,49.14,298,13,0,0,0,0,3,0,0,1
Newark N-5 - Election Day,1262,688,54.52,581,75,1,2,0,0,11,0,7,2
Newark N-6 - Election Day,893,489,54.76,449,33,0,0,0,0,2,0,1,1
Newark N-7 - Election Day,2068,1002,48.45,815,155,0,0,1,0,10,0,10,3
Newark N-8 - Election Day,1234,678,54.94,537,115,0,0,0,0,14,0,7,3
Newark N-9 - Election Day,1060,451,42.55,390,49,0,0,0,0,2,0,2,3
Newark N-10 - Election Day,1150,486,42.26,399,71,0,1,0,0,4,0,3,1
Newark N-11 - Election Day,1259,488,38.76,425,48,1,2,0,0,6,0,0,1
Newark N-12 - Election Day,1276,556,43.57,531,16,1,0,0,0,4,0,1,1
Newark N-13 - Election Day,854,288,33.72,252,26,1,1,0,0,3,0,0,0
Newark N-14 - Election Day,1669,676,40.50,570,82,0,1,0,0,5,0,4,6
Newark N-15 - Election Day,1287,586,45.53,533,38,2,1,0,0,3,1,4,1
Newark N-16 - Election Day,1517,604,39.82,531,58,1,0,0,0,2,2,3,3
Newark N-17 - Election Day,1289,687,53.30,511,153,4,3,2,1,4,0,2,2
Newark N-18 - Election Day,1374,653,47.53,558,66,1,2,3,0,8,0,7,3
Newark N-19 - Election Day,1132,440,38.87,381,51,1,0,0,0,3,0,1,2
Newark N-20 - Election Day,798,365,45.74,312,41,2,0,0,0,4,0,1,1
Newark N-21 - Election Day,888,345,38.85,295,37,2,0,1,0,2,0,1,1
Newark N-22 - Election Day,1027,405,39.44,343,51,2,0,1,0,2,0,3,1
Newark N-23 - Election Day,1161,442,38.07,400,35,0,0,0,0,3,0,0,3
Newark N-25 - Election Day,886,383,43.23,362,12,1,0,0,0,4,1,0,0
Newark N-26 - Election Day,892,414,46.41,333,56,0,0,0,0,6,0,5,1
Newark N-27 - Election Day,997,489,49.05,396,82,1,0,0,0,2,0,3,2
Newark N-28 - Election Day,1142,555,48.60,469,71,2,0,0,0,3,0,2,1
Newark N-29 - Election Day,1151,554,48.13,478,63,1,0,1,1,3,0,3,0
Newark N-37 - Election Day,1068,383,35.86,330,42,0,0,0,0,4,1,0,2
Newark N-38 - Election Day,828,337,40.70,307,23,0,1,0,0,3,0,1,0
Newark N-48 - Election Day,829,406,48.97,356,42,2,0,0,0,3,0,2,0
Newark N-49 - Election Day,736,382,51.90,344,32,0,0,0,0,3,0,0,0
Newark S-1 - Election Day,742,308,41.51,304,1,0,2,0,0,0,0,0,0
Newark S-2 - Election Day,805,349,43.35,340,6,0,0,0,0,2,0,0,0
Newark S-3 - Election Day,1760,792,45.00,758,16,1,1,0,0,3,0,1,3
Newark S-4 - Election Day,1583,726,45.86,698,18,2,0,0,0,1,1,1,1
Newark S-8 - Election Day,821,353,43.00,336,12,0,0,0,0,2,0,1,2
Newark S-10 - Election Day,1293,577,44.62,565,7,3,0,0,0,1,0,0,1
Newark S-11 - Election Day,741,293,39.54,285,4,0,0,0,0,0,0,1,0
Newark S-12 - Election Day,700,308,44.00,293,2,0,1,0,2,5,0,1,1
Newark S-13 - Election Day,713,254,35.62,239,7,0,0,0,0,3,0,0,3
Newark S-15 - Election Day,1389,655,47.16,629,10,0,0,0,0,6,0,4,0
Newark S-16 - Election Day,1043,487,46.69,465,12,0,0,0,0,6,0,2,1
Newark S-17 - Election Day,765,338,44.18,321,7,0,0,0,0,4,0,1,0
Newark S-18 - Election Day,820,343,41.83,336,2,0,0,0,0,3,0,0,0
Newark S-19 - Election Day,857,392,45.74,383,5,0,0,0,0,3,0,1,0
Newark S-20 - Election Day,1032,483,46.80,467,5,1,0,0,0,6,0,1,0
