




District                      Registered Voters             Ballots Cast                  Voter Turnout                 
Toms River District 33        1320                          578                           578                           210                           210                           2                             2                             9                             9                             0                             0                             0                             0                             6                             6                             0                             0                             0                             0                             5                             5                             810                           
Toms River District 34        1059                          388                           388                           213                           213                           3                             3                             20                            20                            0                             0                             0                             0                             10                            10                            0                             0                             0                             0                             7                             7                             641                           
Toms River District 35        1482                          640                           640                           256                           256                           6                             6                             26                            26                            0                             0                             0                             0                             2                             2                             0                             0                             0                             0                             6                             6                             936                           
Toms River District 36        985                           344                           344                           247                           247                           2                             2                             10                            10                            1                             1                             1                             1                             6                             6                             0                             0                             1                             1                             10                            10                            622                           
Toms River District 37        752                           210                           210                           185                           185                           0                             0                             5                             5                             0                             0                             0                             0                             4                             4                             0                             0                             0                             0                             4                             4                             408                           
Toms River District 38        909                           412                           412                           138                           138                           2                             2                             12                            12                            0                             0                             0                             0                             7                             7                             0                             0                             0                             0                             4                             4                             575                           
Toms River District 39        1500                          614                           614                           300                           300                           1                             1                             19                            19                            1                             1                             0                             0                             7                             7                             0                             0                             0                             0                             3                             3                             945                           
Toms River District 40        702                           216                           216                           121                           121                           4                             4                             7                             7                             0                             0                             0                             0                             8                             8                             0                             0                             0                             0                             5                             5                             361                           
Toms River District 41        1357                          528                           528                           266                           266                           4                             4                             11                            11                            0                             0                             0                             0                             11                            11                            0                             0                             0                             0                             5                             5                             825                           
Toms River District 42        956                           449                           449                           139                           139                           2                             2                             8                             8                             0                             0                             0                             0                             2                             2                             0                             0                             0                             0                             3                             3                             603                           
Toms River District 43        588                           290                           290                           119                           119                           0                             0                             2                             2                             0                             0                             0                             0                             5                             5                             0                             0                             0                             0                             1                             1                             417                           
Toms River District 44        855                           350                           350                           130                           130                           1                             1                             5                             5                             0                             0                             0                             0                             2                             2                             0                             0                             0                             0                             4                             4                             492                           
Toms River District 45        1621                          614                           614                           335                           335                           3                             3                             15                            15                            0                             0                             0                             0                             4                             4                             0                             0                             0                             0                             3                             3                             974                           
Toms River District 46        1029                          459                           459                           178                           178                           4                             4                             11                            11                            0                             0                             0                             0                             5                             5                             0                             0                             0                             0                             4                             4                             661                           
Toms River District 47        738                           365                           365                           156                           156                           2                             2                             2                             2                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             1                             1                             527                           
Toms River District 48        765                           350                           350                           170                           170                           2                             2                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             524                           
Toms River District 49        658                           259                           259                           166                           166                           3                             3                             4                             4                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             433                           
Toms River District 50        845                           326                           326                           167                           167                           1                             1                             12                            12                            1                             1                             0                             0                             1                             1                             0                             0                             0                             0                             4                             4                             512                           
Toms River District 51        860                           303                           303                           169                           169                           0                             0                             14                            14                            0                             0                             0                             0                             4                             4                             0                             0                             0                             0                             7                             7                             497                           
Toms River District 52        1606                          614                           614                           285                           285                           0                             0                             15                            15                            0                             0                             0                             0                             2                             2                             0                             0                             1                             1                             4                             4                             921                           
Toms River District 53        797                           383                           383                           106                           106                           1                             1                             2                             2                             1                             1                             0                             0                             3                             3                             0                             0                             1                             1                             6                             6                             503                           
Toms River District 54        962                           373                           373                           197                           197                           1                             1                             8                             8                             0                             0                             0                             0                             4                             4                             0                             0                             0                             0                             1                             1                             584                           
Toms River District 55        867                           428                           428                           122                           122                           2                             2                             15                            15                            0                             0                             0                             0                             2                             2                             0                             0                             0                             0                             8                             8                             577                           
Toms River District 56        925                           392                           392                           167                           167                           3                             3                             11                            11                            0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             2                             2                             576                           
Toms River District 57        920                           337                           337                           194                           194                           1                             1                             4                             4                             0                             0                             0                             0                             7                             7                             0                             0                             0                             0                             2                             2                             545                           
Toms River District 58        1533                          574                           574                           327                           327                           3                             3                             15                            15                            1                             1                             0                             0                             7                             7                             0                             0                             1                             1                             6                             6                             934                           
Toms River District 59        711                           315                           315                           168                           168                           0                             0                             3                             3                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             5                             5                             491                           
Toms River District 60        747                           291                           291                           169                           169                           1                             1                             13                            13                            1                             1                             0                             0                             6                             6                             0                             0                             0                             0                             4                             4                             485                           
Toms River District 61        1073                          486                           486                           148                           148                           0                             0                             16                            16                            1                             1                             0                             0                             6                             6                             0                             0                             0                             0                             2                             2                             659                           
Toms River District 62        842                           360                           360                           139                           139                           4                             4                             4                             4                             0                             0                             0                             0                             3                             3                             0                             0                             0                             0                             2                             2                             512                           
Toms River District 63        772                           280                           280                           137                           137                           2                             2                             6                             6                             0                             0                             1                             1                             7                             7                             0                             0                             0                             0                             4                             4                             437                           
Toms River Mail-In Ballot     0                             2293                          2293                          1411                          1411                          14                            14                            86                            86                            0                             0                             0                             0                             18                            18                            2                             2                             1                             1                             46                            46                            3871                          
Toms River W-1 Mail-In Ballot 0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Toms River W-2 Mail-In Ballot 0                             883                           883                           531                           531                           3                             3                             29                            29                            0                             0                             2                             2                             5                             5                             1                             1                             0                             0                             20                            20                            1474                          
Toms River W-3 Mail-In Ballot 0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Toms River W-4 Mail-In Ballot 0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Toms River Provisional        0                             169                           169                           105                           105                           1                             1                             10                            10                            0                             0                             0                             0                             3                             3                             0                             0                             0                             0                             3                             3                             291                           
Toms River W-1 Provisional    0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Toms River W-2 Provisional    0                             59                            59                            27                            27                            0                             0                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             89                            
Toms River W-3 Provisional    0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Toms River W-4 Provisional    0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Tuckerton District 01         1311                          490                           490                           261                           261                           6                             6                             14                            14                            2                             2                             0                             0                             18                            18                            0                             0                             0                             0                             9                             9                             800                           
Tuckerton District 02         1012                          417                           417                           167                           167                           6                             6                             17                            17                            0                             0                             0                             0                             14                            14                            0                             0                             0                             0                             6                             6                             627                           
Tuckerton Mail-In Ballot      0                             65                            65                            39                            39                            2                             2                             3                             3                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             110                           
Tuckerton Provisional         0                             9                             9                             7                             7                             0                             0                             1                             1                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             18                            
Totals:                       401209                        179079                        179079                        87150                         87150                         937                           937                           4867                          4867                          57                            57                            39                            39                            2122                          2122                          19                            19                            92                            92                            2363                          2363                          276725                        

                                                                                                                                                                                                                                                                 House of Representatives: District 2 (Vote For 1)
                                                            REP - Frank A. LoBIONDO                                     DEM - David H. COLE                                         IND - James KEENAN                                          IND - John ORDILLE                                          IND - Gabriel Brian FRANCO                                  IND - Eric BEECHWOOD                                        IND - Steven FENICHEL                                       WRITE-IN                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Barnegat Light District 01    648                           210                           210                           111                           111                           2                             2                             2                             2                             3                             3                             4                             4                             3                             3                             0                             0                             335                           
Barnegat Light Mail-In Ballot 0                             53                            53                            46                            46                            0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             100                           
Barnegat Light Provisional    0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             
Beach Haven District 01       1029                          314                           314                           127                           127                           13                            13                            4                             4                             2                             2                             1                             1                             3                             3                             0                             0                             464                           
Beach Haven Mail-In Ballot    0                             99                            99                            38                            38                            2                             2                             3                             3                             0                             0                             1                             1                             0                             0                             0                             0                             143                           
Beach Haven Provisional       0                             8                             8                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             10                            
Eagleswood District 01        1200                          466                           466                           180                           180                           20                            20                            10                            10                            1                             1                             2                             2                             0                             0                             0                             0                             679                           
Eagleswood Mail-In Ballot     0                             47                            47                            16                            16                            1                             1                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             66                            
Eagleswood Provisional        0                             3                             3                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             5                             
Harvey Cedars District 01     415                           108                           108                           69                            69                            3                             3                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             180                           
Harvey Cedars Mail-In Ballot  0                             51                            51                            43                            43                            1                             1                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             97                            
Harvey Cedars Provisional     0                             0                             0                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             2                             
Little Egg Harbor District 01 748                           297                           297                           119                           119                           8                             8                             0                             0                             3                             3                             2                             2                             3                             3                             1                             1                             433                           
Little Egg Harbor District 02 1150                          460                           460                           180                           180                           13                            13                            14                            14                            0                             0                             0                             0                             0                             0                             0                             0                             667                           
Little Egg Harbor District 03 785                           299                           299                           108                           108                           6                             6                             3                             3                             0                             0                             3                             3                             0                             0                             1                             1                             420                           
Little Egg Harbor District 04 1585                          457                           457                           236                           236                           18                            18                            15                            15                            3                             3                             6                             6                             7                             7                             0                             0                             742                           
Little Egg Harbor District 05 928                           374                           374                           152                           152                           13                            13                            14                            14                            2                             2                             1                             1                             2                             2                             0                             0                             558                           
Little Egg Harbor District 06 972                           367                           367                           156                           156                           9                             9                             8                             8                             1                             1                             2                             2                             2                             2                             0                             0                             545                           
Little Egg Harbor District 07 669                           265                           265                           127                           127                           5                             5                             2                             2                             0                             0                             1                             1                             1                             1                             0                             0                             401                           
Little Egg Harbor District 08 637                           258                           258                           96                            96                            5                             5                             1                             1                             1                             1                             1                             1                             1                             1                             0                             0                             363                           
Little Egg Harbor District 09 1052                          336                           336                           168                           168                           11                            11                            15                            15                            2                             2                             7                             7                             1                             1                             1                             1                             541                           
