District,Donald J. TRUMP,John R. KASICH,Ted CRUZ
"Edison, District 5",29,8,3
"Edison, District 6",20,2,0
"Edison, District 7",10,2,5
"Edison, District 8",16,6,3
"Edison, District 9",21,0,2
"Edison, District 10",29,4,1
"Edison, District 11",29,3,3
"Edison, District 12",33,4,6
"Edison, District 13",24,0,1
"Edison, District 14",35,5,6
"Edison, District 15",34,3,0
"Edison, District 16",33,6,1
"Edison, District 17",24,3,2
"Edison, District 18",14,1,0
"Edison, District 19",34,3,0
"Edison, District 20",17,1,0
"Edison, District 21",21,2,0
"Edison, District 22",32,1,0
"Edison, District 23",28,1,1
"Edison, District 24",15,0,4
"Edison, District 25",21,3,0
"Edison, District 26",29,3,1
"Edison, District 27",39,10,10
"Edison, District 28",5,1,1
"Edison, District 29",22,7,0
"Edison, District 30",39,11,4
"Edison, District 31",22,4,1
"Edison, District 32",11,0,1
"Edison, District 33",23,1,2
"Edison, District 34",24,3,0
"Edison, District 35",26,3,1
"Edison, District 36",28,2,0
"Edison, District 37",23,4,5
"Edison, District 38",14,0,2
"Edison, District 39",7,3,1
"Edison, District 40",33,1,2
"Edison, District 41",14,0,0
"Edison, District 42",12,1,1
"Edison, District 43",10,6,1
"Edison, District 44",30,2,1
"Edison, District 45",21,1,4
"Edison, District 46",27,6,2
"Edison, District 47",27,5,0
"Edison, District 48",12,1,1
"Edison, District 49",31,4,4
"Edison, District 50",26,9,2
"Edison, District 51",24,4,1
"Edison, District 52",24,2,1
"Edison, District 53",24,2,2
"Edison, District 54",22,4,2
"Edison, District 55",21,0,1
"Edison, District 56",18,3,0
"Edison, District 57",17,3,0
"Edison, District 58",9,3,1
"Edison, District 59",30,2,0
"Edison, District 60",25,2,0
"Edison, District 61",26,4,1
"Edison, District 62",21,10,2
"Edison, District 63",33,1,4
"Edison, District 64",24,3,3
"Edison, District 65",32,0,1
"Edison, District 66",33,2,3
"Edison, District 67",50,4,4
"Edison, District 68",59,4,0
"Edison, District 69",21,3,2
"Edison, District 70",31,10,2
"Edison, District 71",18,2,4
"Edison, District 72",38,5,1
"Edison, District 73",27,7,0
"Edison, District 74",30,2,2
"Edison, District 75",19,2,2
"Edison, District 76",24,4,0
"Edison, District 77",22,2,2
"Edison, District 78",8,2,0
"Helmetta, District 1",117,10,2
"Highland Park, District 1",19,6,4
"Highland Park, District 2",13,1,2
"Highland Park, District 3",9,3,3
"Highland Park, District 4",4,5,0
"Highland Park, District 5",12,8,8
"Highland Park, District 6",3,0,3
"Highland Park, District 7",13,11,5
"Highland Park, District 8",10,6,4
"Highland Park, District 9",10,5,2
"Highland Park, District 10",11,2,1
"Highland Park, District 11",23,4,6
"Highland Park, District 12",9,4,2
"Highland Park, District 13",7,2,1
"Jamesburg, District 1",43,4,4
"Jamesburg, District 2",20,1,1
"Jamesburg, District 3",21,3,0
"Jamesburg, District 4",51,5,2
"Metuchen, District 1",40,10,7
"Metuchen, District 2",28,13,5
"Metuchen, District 3",21,7,2
"Metuchen, District 4",17,11,1
"Metuchen, District 5",25,13,4
"Metuchen, District 6",23,3,0
"Metuchen, District 7",38,8,4
"Metuchen, District 8",24,12,6
"Metuchen, District 9",19,5,2
"Metuchen, District 10",39,7,1
"Metuchen, District 11",55,8,6
"Metuchen, District 12",46,7,6
"Metuchen, District 13",13,8,1
"Middlesex, District 1",35,2,0
"Middlesex, District 2",71,9,1
"Middlesex, District 3",54,6,2
"Middlesex, District 4",82,8,8
"Middlesex, District 5",99,6,7
"Middlesex, District 6",55,8,1
"Middlesex, District 7",72,11,6
"Middlesex, District 8",72,3,4
"Middlesex, District 9",88,6,3
"Middlesex, District 10",59,10,6
"Milltown, District 1",22,5,0
"Milltown, District 2",39,7,6
"Milltown, District 3",27,3,1
"Milltown, District 4",31,1,0
"Milltown, District 5",27,1,1
"Milltown, District 6",28,1,2
"Milltown, District 7",42,5,3
"Milltown, District 8",34,6,1
"Milltown, District 9",25,4,5
"Monroe, Ward 1, District 1",54,12,2
"Monroe, Ward 1, District 2",82,10,2
"Monroe, Ward 1, District 3",61,9,5
"Monroe, Ward 1, District 4",80,5,1
"Monroe, Ward 1, District 5",81,9,4
"Monroe, Ward 1, District 6",30,7,2
"Monroe, Ward 1, District 7",50,9,2
"Monroe, Ward 1, District 8",22,4,0
"Monroe, Ward 1, District 9",49,4,0
"Monroe, Ward 1, District 10",52,8,1
"Monroe, Ward 1, District 11",37,3,4
"Monroe, Ward 1, District 12",52,8,2
"Monroe, Ward 1, District 13",84,15,6
"Monroe, Ward 1, District 14",60,5,2
"Monroe, Ward 1, District 15",39,5,5
"Monroe, Ward 1, District 16",95,11,0
"Monroe, Ward 1, District 17",27,6,1
"Monroe, Ward 2, District 1",108,13,2
"Monroe, Ward 2, District 2",67,1,1
"Monroe, Ward 2, District 3",50,6,2
"Monroe, Ward 2, District 4",82,9,2
"Monroe, Ward 2, District 5",40,4,0
"Monroe, Ward 2, District 6",54,6,3
"Monroe, Ward 2, District 7",60,5,1
"Monroe, Ward 2, District 8",31,4,1
"Monroe, Ward 2, District 9",52,15,1
"Monroe, Ward 2, District 10",60,0,1
"Monroe, Ward 2, District 11",53,1,3
"Monroe, Ward 2, District 12",39,6,4
"Monroe, Ward 3, District 1",50,2,0
"Monroe, Ward 3, District 2",39,7,2
"Monroe, Ward 3, District 3",50,4,2
"Monroe, Ward 3, District 4",60,5,3
"Monroe, Ward 3, District 5",86,4,1
"Monroe, Ward 3, District 6",25,2,1
"Monroe, Ward 3, District 7",72,1,0
"Monroe, Ward 3, District 8",46,3,3
"Monroe, Ward 3, District 9",107,12,5
"Monroe, Ward 3, District 10",121,9,6
"Monroe, Ward 3, District 11",84,9,4
"New Brunswick, Ward 1, District 1",7,1,2
"New Brunswick, Ward 1, District 2",7,0,2
"New Brunswick, Ward 1, District 3",4,1,0
"New Brunswick, Ward 1, District 4",7,3,0
"New Brunswick, Ward 1, District 5",31,1,1
"New Brunswick, Ward 1, District 6",3,0,0
"New Brunswick, Ward 2, District 1",1,1,0
"New Brunswick, Ward 2, District 2",0,0,0
"New Brunswick, Ward 2, District 3",1,1,0
"New Brunswick, Ward 2, District 4",1,0,0
"New Brunswick, Ward 2, District 5",7,0,0
"New Brunswick, Ward 2, District 6",9,1,3
"New Brunswick, Ward 2, District 7",11,2,1
"New Brunswick, Ward 4, District 1",7,0,0
"New Brunswick, Ward 4, District 2",2,0,1
"New Brunswick, Ward 4, District 3",3,0,1
"New Brunswick, Ward 4, District 4",1,1,0
"New Brunswick, Ward 4, District 5",1,0,0
"New Brunswick, Ward 5, District 1",10,1,0
"New Brunswick, Ward 5, District 2",2,0,1
"New Brunswick, Ward 5, District 3",2,0,1
"New Brunswick, Ward 5, District 4",5,2,1
"New Brunswick, Ward 6, District 1",5,3,0
"New Brunswick, Ward 6, District 2",2,1,0
"New Brunswick, Ward 6, District 3",3,1,1
"New Brunswick, Ward 6, District 4",1,0,1
"New Brunswick, Ward 6, District 5",8,1,0
"New Brunswick, Ward 6, District 6",4,2,0
"North Brunswick, District 1",24,0,4
"North Brunswick, District 2",39,8,5
"North Brunswick, District 3",24,1,0
"North Brunswick, District 4",32,3,4
"North Brunswick, District 5",30,6,1
"North Brunswick, District 6",12,0,0
"North Brunswick, District 7",40,3,2
"North Brunswick, District 8",21,5,3
"North Brunswick, District 9",48,1,4
"North Brunswick, District 10",20,2,2
"North Brunswick, District 11",80,13,0
"North Brunswick, District 12",16,0,1
"North Brunswick, District 13",13,0,0
"North Brunswick, District 14",19,3,2
"North Brunswick, District 15",7,1,0
"North Brunswick, District 16",19,1,1
"North Brunswick, District 17",23,3,1
"North Brunswick, District 18",23,4,0
"North Brunswick, District 19",34,3,4
"North Brunswick, District 20",25,9,3
"North Brunswick, District 21",41,1,2
"North Brunswick, District 22",14,4,2
"North Brunswick, District 23",28,8,0
"North Brunswick, District 24",16,5,2
"North Brunswick, District 25",66,5,5
"North Brunswick, District 26",19,1,1
"North Brunswick, District 27",22,4,1
"Old Bridge, Ward 1, District 1",39,1,4
"Old Bridge, Ward 1, District 2",36,3,3
"Old Bridge, Ward 1, District 3",50,7,7
"Old Bridge, Ward 1, District 4",52,3,2
"Old Bridge, Ward 1, District 5",109,5,5
"Old Bridge, Ward 1, District 6",61,3,1
"Old Bridge, Ward 1, District 7",61,8,0
"Old Bridge, Ward 1, District 8",81,7,7
"Old Bridge, Ward 1, District 9",56,4,2
"Old Bridge, Ward 1, District 10",23,0,0
"Old Bridge, Ward 2, District 1",31,1,1
"Old Bridge, Ward 2, District 2",58,12,2
"Old Bridge, Ward 2, District 3",92,11,1
"Old Bridge, Ward 2, District 4",45,2,1
"Old Bridge, Ward 2, District 5",93,8,5
"Old Bridge, Ward 2, District 6",11,0,2
"Old Bridge, Ward 2, District 7",68,2,2
"Old Bridge, Ward 3, District 1",46,1,3
"Old Bridge, Ward 3, District 2",58,10,3
"Old Bridge, Ward 3, District 3",14,1,1
"Old Bridge, Ward 3, District 4",23,1,0
"Old Bridge, Ward 3, District 5",39,3,3
"Old Bridge, Ward 3, District 6",42,7,2
"Old Bridge, Ward 3, District 7",32,2,1
"Old Bridge, Ward 4, District 1",60,3,5
"Old Bridge, Ward 4, District 2",48,3,2
"Old Bridge, Ward 4, District 3",97,14,6
"Old Bridge, Ward 4, District 4",31,3,2
"Old Bridge, Ward 4, District 5",51,6,0
"Old Bridge, Ward 4, District 6",54,2,4
"Old Bridge, Ward 4, District 7",43,3,6
"Old Bridge, Ward 4, District 8",41,1,1
"Old Bridge, Ward 4, District 9",27,1,4
"Old Bridge, Ward 5, District 1",60,2,3
"Old Bridge, Ward 5, District 2",66,3,5
"Old Bridge, Ward 5, District 3",41,2,5
"Old Bridge, Ward 5, District 4",50,4,0
"Old Bridge, Ward 5, District 5",47,1,3
"Old Bridge, Ward 5, District 6",80,7,2
"Old Bridge, Ward 5, District 7",66,7,3
"Old Bridge, Ward 5, District 8",66,9,5
"Old Bridge, Ward 5, District 9",52,3,4
"Old Bridge, Ward 6, District 1",61,3,2
"Old Bridge, Ward 6, District 2",80,4,1
"Old Bridge, Ward 6, District 3",26,1,4
"Old Bridge, Ward 6, District 4",47,2,2
"Old Bridge, Ward 6, District 5",60,5,4
"Old Bridge, Ward 6, District 6",66,4,4
"Old Bridge, Ward 6, District 7",80,7,1
"Old Bridge, Ward 6, District 8",61,8,1
"Perth Amboy, Ward 1, District 1",4,3,1
"Perth Amboy, Ward 1, District 2",7,0,1
"Perth Amboy, Ward 1, District 3",6,1,3
"Perth Amboy, Ward 1, District 4",4,0,0
"Perth Amboy, Ward 1, District 5",10,0,0
"Perth Amboy, Ward 2, District 1",15,3,2
"Perth Amboy, Ward 2, District 2",7,0,0
"Perth Amboy, Ward 3, District 1",7,1,1
"Perth Amboy, Ward 3, District 2",2,0,1
"Perth Amboy, Ward 4, District 1",3,0,0
"Perth Amboy, Ward 4, District 2",3,2,1
"Perth Amboy, Ward 4, District 3",4,0,3
"Perth Amboy, Ward 4, District 4",5,0,2
"Perth Amboy, Ward 4, District 5",6,1,1
"Perth Amboy, Ward 4, District 6",17,1,1
"Perth Amboy, Ward 5, District 1",4,1,1
"Perth Amboy, Ward 5, District 2",4,0,1
"Perth Amboy, Ward 5, District 3",8,0,3
"Perth Amboy, Ward 6, District 1",1,1,0
"Perth Amboy, Ward 6, District 2",3,1,1
"Perth Amboy, Ward 6, District 3",9,3,0
"Perth Amboy, Ward 6, District 4",7,1,1
"Perth Amboy, Ward 6, District 5",2,0,1
"Perth Amboy, Ward 6, District 6",2,1,1
"Perth Amboy, Ward 6, District 7",10,2,1
"Perth Amboy, Ward 6, District 8",3,2,1
"Perth Amboy, Ward 6, District 9",16,1,2
"Perth Amboy, Ward 6, District 10",5,1,1
"Perth Amboy, Ward 6, District 11",9,0,1
"Perth Amboy, Ward 6, District 12",10,1,1
"Perth Amboy, Ward 6, District 13",3,0,0
"Perth Amboy, Ward 6, District 14",18,2,1
"Piscataway, Ward 1, District 1",7,6,0
"Piscataway, Ward 1, District 2",19,0,1
"Piscataway, Ward 1, District 3",28,4,1
"Piscataway, Ward 1, District 4",25,3,5
"Piscataway, Ward 1, District 5",40,6,4
"Piscataway, Ward 1, District 6",43,9,5
"Piscataway, Ward 1, District 7",17,3,3
"Piscataway, Ward 1, District 8",38,5,6
"Piscataway, Ward 1, District 9",18,6,6
"Piscataway, Ward 2, District 1",32,1,1
"Piscataway, Ward 2, District 2",19,6,13
"Piscataway, Ward 2, District 3",32,2,1
"Piscataway, Ward 2, District 4",31,5,4
"Piscataway, Ward 2, District 5",17,1,0
"Piscataway, Ward 2, District 6",34,3,6
"Piscataway, Ward 2, District 7",37,7,5
"Piscataway, Ward 2, District 8",7,2,3
"Piscataway, Ward 2, District 9",17,7,1
"Piscataway, Ward 2, District 10",28,2,1
"Piscataway, Ward 3, District 1",50,5,2
"Piscataway, Ward 3, District 2",44,7,4
"Piscataway, Ward 3, District 3",25,6,6
"Piscataway, Ward 3, District 4",16,4,3
"Piscataway, Ward 3, District 5",22,7,3
"Piscataway, Ward 3, District 6",1,0,1
"Piscataway, Ward 3, District 7",24,2,0
"Piscataway, Ward 3, District 8",27,6,0
"Piscataway, Ward 3, District 9",7,2,3
"Piscataway, Ward 3, District 10",28,2,4
"Piscataway, Ward 4, District 1",25,4,1
"Piscataway, Ward 4, District 2",4,1,0
"Piscataway, Ward 4, District 3",11,3,4
"Piscataway, Ward 4, District 4",0,0,0
"Piscataway, Ward 4, District 5",22,3,2
"Piscataway, Ward 4, District 6",0,0,0
"Piscataway, Ward 4, District 7",24,2,4
"Piscataway, Ward 4, District 8",34,0,1
"Piscataway, Ward 4, District 9",13,1,4
"Piscataway, Ward 4, District 10",17,7,3
"Plainsboro, District 1",46,19,4
"Plainsboro, District 2",13,5,1
"Plainsboro, District 3",25,9,0
"Plainsboro, District 4",31,15,3
"Plainsboro, District 5",33,5,5
"Plainsboro, District 6",16,7,2
"Plainsboro, District 7",31,29,4
"Plainsboro, District 8",14,4,0
"Plainsboro, District 9",22,4,2
"Plainsboro, District 10",18,10,0
"Plainsboro, District 11",9,1,0
"Plainsboro, District 12",9,5,0
"Sayreville, District 1",25,0,0
"Sayreville, District 2",46,4,2
"Sayreville, District 3",68,3,4
"Sayreville, District 4",52,3,2
"Sayreville, District 5",41,4,0
"Sayreville, District 6",27,1,1
"Sayreville, District 7",30,1,0
"Sayreville, District 8",32,2,0
"Sayreville, District 9",28,1,3
"Sayreville, District 10",32,1,3
"Sayreville, District 11",59,2,1
"Sayreville, District 12",60,4,3
"Sayreville, District 13",43,2,1
"Sayreville, District 14",38,1,3
"Sayreville, District 15",30,4,1
"Sayreville, District 16",47,2,2
"Sayreville, District 17",29,2,1
"Sayreville, District 18",53,2,4
"Sayreville, District 19",27,3,0
"Sayreville, District 20",16,2,3
"Sayreville, District 21",38,2,2
"Sayreville, District 22",43,4,2
"Sayreville, District 23",33,1,0
"Sayreville, District 24",71,1,5
"Sayreville, District 25",59,2,0
"Sayreville, District 26",36,4,2
"Sayreville, District 27",44,4,1
"Sayreville, District 28",29,1,4
"Sayreville, District 29",25,3,3
"Sayreville, District 30",53,4,3
"Sayreville, District 31",39,4,4
"Sayreville, District 32",36,6,6
"Sayreville, District 33",13,0,4
"Sayreville, District 34",44,3,3
"Sayreville, District 35",38,3,1
"South Amboy, Ward 1, District 1",38,0,2
"South Amboy, Ward 1, District 2",35,0,1
"South Amboy, Ward 1, District 3",37,2,0
"South Amboy, Ward 2, District 1",22,3,2
"South Amboy, Ward 2, District 2",12,4,2
"South Amboy, Ward 2, District 3",27,1,0
"South Amboy, Ward 3, District 1",8,1,0
"South Amboy, Ward 3, District 2",60,6,4
"South Amboy, Ward 3, District 3",52,4,0
"South Brunswick, District 1",74,11,4
"South Brunswick, District 2",41,7,3
"South Brunswick, District 3",40,13,5
"South Brunswick, District 4",58,2,1
"South Brunswick, District 5",47,4,1
"South Brunswick, District 6",53,5,3
"South Brunswick, District 7",29,8,4
"South Brunswick, District 8",38,13,4
"South Brunswick, District 9",16,4,2
"South Brunswick, District 10",48,6,3
"South Brunswick, District 11",29,8,2
"South Brunswick, District 12",33,4,2
"South Brunswick, District 13",34,2,3
"South Brunswick, District 14",23,6,1
"South Brunswick, District 15",28,2,2
"South Brunswick, District 16",52,16,2
"South Brunswick, District 17",26,3,2
"South Brunswick, District 18",26,3,1
"South Brunswick, District 19",25,4,1
"South Brunswick, District 20",28,3,4
"South Brunswick, District 21",44,5,5
"South Brunswick, District 22",23,1,0
"South Brunswick, District 23",18,4,3
"South Brunswick, District 24",38,6,3
"South Brunswick, District 25",19,11,1
"South Brunswick, District 26",31,14,1
"South Brunswick, District 27",33,3,0
"South Brunswick, District 28",30,8,5
"South Brunswick, District 29",21,4,2
"South Brunswick, District 30",23,5,4
"South Plainfield, District 1",45,7,3
"South Plainfield, District 2",49,10,2
"South Plainfield, District 3",53,4,3
"South Plainfield, District 4",75,10,3
"South Plainfield, District 5",65,7,3
"South Plainfield, District 6",59,3,3
"South Plainfield, District 7",60,3,4
"South Plainfield, District 8",52,5,3
"South Plainfield, District 9",70,7,1
"South Plainfield, District 10",51,5,2
"South Plainfield, District 11",52,2,2
"South Plainfield, District 12",55,1,0
"South Plainfield, District 13",63,5,6
"South Plainfield, District 14",64,8,2
"South Plainfield, District 15",33,6,3
"South River, District 1",26,2,2
"South River, District 2",16,0,2
"South River, District 3",29,2,1
"South River, District 4",29,2,1
"South River, District 5",44,2,7
"South River, District 6",30,1,3
"South River, District 7",33,4,2
"South River, District 8",33,5,1
"South River, District 9",18,3,1
"South River, District 10",40,6,2
"South River, District 11",29,5,1
"South River, District 12",23,1,2
"South River, District 13",31,1,6
"South River, District 14",36,5,0
"Spotswood, District 1",92,9,4
"Spotswood, District 2",68,5,5
"Spotswood, District 3",54,5,2
"Spotswood, District 4",63,7,2
"Spotswood, District 5",84,3,6
"Spotswood, District 6",52,3,3
"Spotswood, District 7",83,6,5
"Woodbridge, Ward 1, District 1",41,3,2
"Woodbridge, Ward 1, District 2",43,2,6
"Woodbridge, Ward 1, District 3",41,1,3
"Woodbridge, Ward 1, District 4",48,3,2
"Woodbridge, Ward 1, District 5",48,13,3
"Woodbridge, Ward 1, District 6",28,0,0
"Woodbridge, Ward 1, District 7",56,6,6
"Woodbridge, Ward 1, District 8",11,3,3
"Woodbridge, Ward 1, District 9",36,2,5
"Woodbridge, Ward 1, District 10",46,1,3
"Woodbridge, Ward 1, District 11",28,5,1
"Woodbridge, Ward 1, District 12",19,3,5
"Woodbridge, Ward 1, District 13",51,3,2
"Woodbridge, Ward 1, District 14",32,2,3
"Woodbridge, Ward 1, District 15",48,6,5
"Woodbridge, Ward 2, District 1",10,2,1
"Woodbridge, Ward 2, District 2",25,0,1
"Woodbridge, Ward 2, District 3",38,4,3
"Woodbridge, Ward 2, District 4",37,5,0
"Woodbridge, Ward 2, District 5",34,1,0
"Woodbridge, Ward 2, District 6",34,4,1
"Woodbridge, Ward 2, District 7",27,5,1
"Woodbridge, Ward 2, District 8",50,3,5
"Woodbridge, Ward 2, District 9",52,5,1
"Woodbridge, Ward 2, District 10",20,1,3
"Woodbridge, Ward 2, District 11",34,5,0
"Woodbridge, Ward 2, District 12",51,2,5
"Woodbridge, Ward 2, District 13",26,5,7
"Woodbridge, Ward 2, District 14",6,0,2
"Woodbridge, Ward 2, District 15",22,2,0
"Woodbridge, Ward 3, District 1",19,2,2
"Woodbridge, Ward 3, District 2",44,7,1
"Woodbridge, Ward 3, District 3",51,2,1
"Woodbridge, Ward 3, District 4",20,0,1
"Woodbridge, Ward 3, District 5",26,3,2
"Woodbridge, Ward 3, District 6",39,1,5
"Woodbridge, Ward 3, District 7",29,1,5
"Woodbridge, Ward 3, District 8",20,2,2
"Woodbridge, Ward 3, District 9",28,5,2
"Woodbridge, Ward 3, District 10",42,3,1
"Woodbridge, Ward 3, District 11",9,2,0
"Woodbridge, Ward 3, District 12",11,0,2
"Woodbridge, Ward 3, District 13",48,2,0
"Woodbridge, Ward 4, District 1",42,4,0
"Woodbridge, Ward 4, District 2",33,5,2
"Woodbridge, Ward 4, District 3",21,2,1
"Woodbridge, Ward 4, District 4",17,0,1
"Woodbridge, Ward 4, District 5",39,4,1
"Woodbridge, Ward 4, District 6",23,2,1
"Woodbridge, Ward 4, District 7",55,3,3
"Woodbridge, Ward 4, District 8",29,5,2
"Woodbridge, Ward 4, District 9",31,3,2
"Woodbridge, Ward 4, District 10",28,3,7
"Woodbridge, Ward 4, District 11",25,1,2
"Woodbridge, Ward 4, District 12",15,0,3
"Woodbridge, Ward 4, District 13",24,0,2
"Woodbridge, Ward 4, District 14",29,0,1
"Woodbridge, Ward 5, District 1",54,5,2
"Woodbridge, Ward 5, District 2",13,1,1
"Woodbridge, Ward 5, District 3",39,1,2
"Woodbridge, Ward 5, District 4",36,1,1
"Woodbridge, Ward 5, District 5",59,5,1
"Woodbridge, Ward 5, District 6",44,4,1
"Woodbridge, Ward 5, District 7",68,5,0
"Woodbridge, Ward 5, District 8",52,5,3
"Woodbridge, Ward 5, District 9",27,4,0
"Woodbridge, Ward 5, District 10",68,6,1
"Woodbridge, Ward 5, District 11",38,6,2
"Woodbridge, Ward 5, District 12",43,3,2
"Woodbridge, Ward 5, District 13",41,5,4
"Woodbridge, Ward 5, District 14",37,7,1
"Woodbridge, Ward 5, District 15",28,2,2
"Woodbridge, Ward 5, District 16",66,10,4
"Woodbridge, Ward 5, District 17",41,6,0
"Woodbridge, Ward 5, District 18",19,1,0
Total,20580,2529,1332
