




District                      Registered Voters             Ballots Cast                  Voter Turnout                 
Washington District 20        822                           515                           62.65%
Washington District 21        699                           433                           61.95%
Washington District 22        1006                          628                           62.43%
Washington District 23        869                           515                           59.26%
Washington District 24        1276                          729                           57.13%
Washington District 25        730                           352                           48.22%
Washington District 26        1070                          600                           56.07%
Washington District 27        1022                          587                           57.44%
Washington District 28        893                           542                           60.69%
Washington District 29        759                           456                           60.08%
Washington District 30        1106                          694                           62.75%
Washington District 31        964                           610                           63.28%
Washington District 32        920                           552                           60.00%
Washington District 33        1131                          669                           59.15%
Washington District 34        741                           449                           60.59%
Washington District 35        785                           449                           57.20%
Washington District 36        488                           263                           53.89%
Washington District 37        977                           587                           60.08%
Washington District 38        1296                          781                           60.26%
Washington District 39        929                           534                           57.48%
Wenonah District 1            701                           481                           68.62%
Wenonah District 2            645                           442                           68.53%
Wenonah District 3            466                           328                           70.39%
West Deptford District 1      871                           468                           53.73%
West Deptford District 2      573                           319                           55.67%
West Deptford District 3      740                           470                           63.51%
West Deptford District 4      826                           512                           61.99%
West Deptford District 5      653                           383                           58.65%
West Deptford District 6      493                           329                           66.73%
West Deptford District 7      1116                          672                           60.22%
West Deptford District 8      908                           588                           64.76%
West Deptford District 9      703                           408                           58.04%
West Deptford District 10     649                           394                           60.71%
West Deptford District 11     598                           398                           66.56%
West Deptford District 12     538                           299                           55.58%
West Deptford District 13     1287                          816                           63.40%
West Deptford District 14     1045                          534                           51.10%
West Deptford District 15     956                           552                           57.74%
West Deptford District 16     847                           522                           61.63%
West Deptford District 17     942                           528                           56.05%
West Deptford District 18     959                           488                           50.89%
West Deptford District 19     1327                          780                           58.78%
Westville District 1          851                           499                           58.64%
Westville District 2          1091                          635                           58.20%
Westville District 3          816                           479                           58.70%
Woodbury Ward 1 District 1    738                           365                           49.46%
Woodbury Ward 1 District 2    532                           337                           63.35%
Woodbury Ward 1 District 3    613                           364                           59.38%
Woodbury Ward 2 District 1    527                           311                           59.01%
Woodbury Ward 2 District 2    572                           298                           52.10%
Woodbury Ward 2 District 3    761                           374                           49.15%
Woodbury Ward 2 District 4    449                           251                           55.90%
Woodbury Ward 3 District 1    637                           383                           60.13%
Woodbury Ward 3 District 2    662                           400                           60.42%
Woodbury Ward 3 District 3    691                           417                           60.35%
Woodbury Ward 3 District 4    496                           300                           60.48%
Woodbury Heights 1            635                           421                           66.30%
Woodbury Heights 2            610                           408                           66.89%
Woodbury Heights 3            363                           265                           73.00%
Woodbury Heights 4            702                           483                           68.80%
Woolwich District 1           1388                          832                           59.94%
Woolwich District 2           1181                          701                           59.36%
Woolwich District 3           665                           408                           61.35%
Woolwich District 4           761                           470                           61.76%
Woolwich District 5           1266                          787                           62.16%
Woolwich District 6           784                           540                           68.88%
Woolwich District 7           1156                          615                           53.20%
Woolwich District 8           776                           459                           59.15%
Clayton Mail-In Ballot        0                             339                           0.00%
Clayton Provisional           0                             24                            0.00%
Deptford Mail-In Ballot       0                             1410                          0.00%
Deptford Provisional          0                             63                            0.00%
East Greenwich Mail-In Ballot 0                             732                           0.00%
East Greenwich Provisional    0                             41                            0.00%
East Greenwich Mail-In Ballot (CD 2)0                             171                           0.00%
East Greenwich Provisional (CD 2)0                             11                            0.00%
Elk Mail-In Ballot            0                             223                           0.00%
Elk Provisional               0                             19                            0.00%
Franklin Mail-In Ballot       0                             914                           0.00%
Franklin Provisional          0                             97                            0.00%
Glassboro Mail-In Ballot      0                             708                           0.00%
Glassboro Provisional         0                             66                            0.00%
Greenwich Mail-In Ballot      0                             521                           0.00%
Greenwich Provisional         0                             18                            0.00%
Harrison Mail-In Ballot       0                             775                           0.00%
Harrison Provisional          0                             58                            0.00%
Logan Mail-In Ballot          0                             305                           0.00%
Logan Provisional             0                             17                            0.00%
Mantua Mail-In Ballot         0                             1136                          0.00%
Mantua Provisional            0                             77                            0.00%
Monroe Mail-In Ballot         0                             0                             0.00%
Monroe Provisional            0                             0                             0.00%
National Park Mail-In Ballot  0                             81                            0.00%
National Park Provisional     0                             3                             0.00%
Newfield Mail-In Ballot       0                             79                            0.00%
Newfield Provisional          0                             6                             0.00%
Paulsboro Mail-In Ballot      0                             186                           0.00%
Paulsboro Provisional         0                             31                            0.00%
Pitman Mail-In Ballot         0                             500                           0.00%
Pitman Provisional            0                             15                            0.00%
South Harrison Mail-In Ballot 0                             218                           0.00%
South Harrison Provisional    0                             10                            0.00%
Swedesboro Mail-In Ballot     0                             83                            0.00%
Swedesboro Provisional        0                             4                             0.00%
Washington Mail-In Ballot     0                             3411                          0.00%
Washington Provisional        0                             284                           0.00%
Wenonah Mail-In Ballot        0                             142                           0.00%
Wenonah Provisional           0                             6                             0.00%
West Deptford Mail-In Ballot  0                             1475                          0.00%
West Deptford Provisional     0                             77                            0.00%
Westville Mail-In Ballot      0                             121                           0.00%
Westville Provisional         0                             14                            0.00%
Woodbury Heights Mail-In Ballot0                             152                           0.00%
Woodbury Heights Provisional  0                             2                             0.00%
Woolwich Mail-In Ballot       0                             850                           0.00%
Woolwich Provisional          0                             43                            0.00%
Monroe Ward 1 Mail-In Ballot  0                             462                           0.00%
Monroe Ward 1 Provisional     0                             41                            0.00%
Monroe Ward 2 Mail-In Ballot  0                             501                           0.00%
Monroe Ward 2 Provisional     0                             44                            0.00%
Monroe Ward 3 Mail-In Ballot  0                             441                           0.00%
Monroe Ward 3 Provisional     0                             53                            0.00%
Monroe Ward 4 Mail-In Ballot  0                             416                           0.00%
Monroe Ward 4 Provisional     0                             42                            0.00%
Woodbury Ward 1 Mail-In Ballot0                             102                           0.00%
Woodbury Ward 1 Provisional   0                             6                             0.00%
Woodbury Ward 2 Mail-In Ballot0                             178                           0.00%
Woodbury Ward 2 Provisional   0                             17                            0.00%
Woodbury Ward 3 Mail-In Ballot0                             236                           0.00%
Woodbury Ward 3 Provisional   0                             19                            0.00%
Federal Overseas MIB CD 1 DD 20                             0                             0.00%
Federal Overseas MIB CD 2 DD 20                             0                             0.00%
Federal Overseas MIB CD 1 DD 30                             0                             0.00%
Federal Overseas MIB CD 2 DD 30                             0                             0.00%
Federal Overseas Absentee CD 10                             36                            0.00%
Federal Overseas Absentee CD 20                             23                            0.00%
Removed Resident Absentee     0                             0                             0.00%
Total:                        206503                        142617                        69.06%

                                                                                                                                                                                                                                                                                                                             U.S. President (Vote For 1)
                                                            - DONALD J. TRUMP                                           - HILLARY RODHAM CLINTON                                    - MONICA MOOREHEAD                                          - ROCKY ROQUE DE LA FUENTE                                  - DARRELL CASTLE                                            - ALYSON KENNEDY                                            - JILL STEIN                                                - GLORIA LA RIVA                                            - GARY JOHNSON                                              Write-In                                                    
District                      Registered Voters             Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Election                      Choice Total                  Total                         
Clayton District 1            846                           250                           250                           231                           231                           0                             0                             1                             1                             2                             2                             0                             0                             11                            11                            0                             0                             16                            16                            4                             4                             515                           
Clayton District 2            816                           211                           211                           246                           246                           1                             1                             0                             0                             4                             4                             0                             0                             4                             4                             0                             0                             11                            11                            5                             5                             482                           
Clayton District 3            1168                          314                           314                           391                           391                           3                             3                             0                             0                             1                             1                             0                             0                             4                             4                             0                             0                             18                            18                            2                             2                             733                           
Clayton District 4            1037                          315                           315                           285                           285                           2                             2                             0                             0                             2                             2                             0                             0                             2                             2                             0                             0                             16                            16                            5                             5                             627                           
Clayton District 5            753                           87                            87                            308                           308                           0                             0                             0                             0                             0                             0                             0                             0                             2                             2                             0                             0                             11                            11                            3                             3                             411                           
Clayton District 6            1008                          334                           334                           324                           324                           2                             2                             1                             1                             0                             0                             1                             1                             5                             5                             0                             0                             6                             6                             11                            11                            684                           
Deptford District 1           967                           268                           268                           267                           267                           2                             2                             1                             1                             1                             1                             2                             2                             9                             9                             0                             0                             8                             8                             3                             3                             561                           
Deptford District 2           1050                          296                           296                           319                           319                           2                             2                             0                             0                             0                             0                             0                             0                             2                             2                             0                             0                             8                             8                             8                             8                             635                           
Deptford District 3           1196                          347                           347                           382                           382                           0                             0                             0                             0                             1                             1                             0                             0                             6                             6                             1                             1                             16                            16                            8                             8                             761                           
Deptford District 4           1125                          283                           283                           333                           333                           3                             3                             0                             0                             0                             0                             1                             1                             3                             3                             0                             0                             13                            13                            4                             4                             640                           
Deptford District 5           1013                          251                           251                           320                           320                           0                             0                             0                             0                             0                             0                             1                             1                             4                             4                             0                             0                             14                            14                            7                             7                             597                           
Deptford District 6           1078                          201                           201                           353                           353                           1                             1                             0                             0                             0                             0                             0                             0                             6                             6                             0                             0                             15                            15                            10                            10                            586                           
Deptford District 7           549                           77                            77                            246                           246                           0                             0                             0                             0                             3                             3                             0                             0                             4                             4                             0                             0                             7                             7                             1                             1                             338                           
Deptford District 8           904                           263                           263                           230                           230                           0                             0                             1                             1                             0                             0                             1                             1                             1                             1                             0                             0                             13                            13                            3                             3                             512                           
Deptford District 9           919                           63                            63                            489                           489                           1                             1                             0                             0                             1                             1                             0                             0                             4                             4                             0                             0                             4                             4                             1                             1                             563                           
Deptford District 10          1196                          331                           331                           337                           337                           3                             3                             0                             0                             2                             2                             1                             1                             11                            11                            0                             0                             18                            18                            3                             3                             706                           
Deptford District 11          1240                          415                           415                           311                           311                           1                             1                             1                             1                             0                             0                             1                             1                             5                             5                             0                             0                             22                            22                            6                             6                             762                           
Deptford District 12          1159                          352                           352                           328                           328                           0                             0                             0                             0                             4                             4                             0                             0                             7                             7                             0                             0                             23                            23                            7                             7                             721                           
Deptford District 13          828                           250                           250                           230                           230                           1                             1                             0                             0                             1                             1                             1                             1                             8                             8                             0                             0                             20                            20                            5                             5                             516                           
Deptford District 14          1064                          295                           295                           321                           321                           1                             1                             0                             0                             0                             0                             0                             0                             5                             5                             0                             0                             16                            16                            3                             3                             641                           
Deptford District 15          623                           154                           154                           198                           198                           1                             1                             0                             0                             0                             0                             0                             0                             2                             2                             0                             0                             14                            14                            4                             4                             373                           
